applicant_id,site,female,age,education_years,employed_baseline,earnings_baseline
JB000071,A,0,38,9,0,0
JB000072,A,1,46,14,0,0
JB000073,A,0,49,9,0,0
JB000074,A,0,49,14,0,0
JB000075,A,0,33,9,1,1383
JB000076,A,0,36,14,1,2317
JB000077,A,1,54,16,0,0
JB000078,A,0,30,11,0,0
JB000079,A,0,46,14,1,1846
JB000080,A,0,51,18,0,0
JB000081,A,1,20,11,0,0
JB000082,A,0,21,13,1,1685
JB000083,A,0,31,18,1,2718
JB000084,A,0,51,12,0,0
JB000085,A,1,36,15,1,2131
JB000086,A,0,21,9,0,0
JB000087,A,0,21,17,0,0
JB000088,A,1,33,9,1,1349
JB000089,A,0,31,16,1,2433
JB000090,A,0,47,9,1,1925
JB000091,A,0,21,13,0,0
JB000092,A,1,42,15,1,2368
JB000093,A,0,35,9,1,1167
JB000094,A,0,29,18,0,0
JB000095,A,0,36,11,1,1648
JB000096,A,1,53,11,1,2228
JB000097,A,0,46,16,1,2703
JB000098,A,1,22,18,0,0
JB000099,A,0,30,9,1,1222
JB000100,A,1,25,14,1,1550
JB000101,A,1,30,14,0,0
JB000102,A,0,20,16,0,0
JB000103,A,0,42,15,0,0
JB000104,A,0,25,10,0,0
JB000105,A,0,51,16,1,2721
JB000106,A,1,38,14,0,0
JB000107,A,0,30,11,0,0
JB000108,A,0,24,9,0,0
JB000109,A,0,37,18,1,2523
JB000110,A,1,22,18,1,2237
JB000111,A,0,50,16,1,2747
JB000112,A,0,48,10,0,0
JB000113,A,0,53,16,1,2401
JB000114,A,0,49,11,1,1622
JB000115,A,0,28,13,1,1587
JB000116,A,0,40,16,0,0
JB000117,A,1,54,16,1,2992
JB000118,A,1,40,17,1,2059
JB000119,A,0,27,16,1,2166
JB000120,A,0,22,12,0,0
JB000121,A,0,21,11,0,0
JB000122,A,0,38,17,1,2818
JB000123,A,1,37,11,1,1555
JB000124,A,0,33,14,0,0
JB000125,A,0,31,11,1,1436
JB000126,A,0,33,9,1,1238
JB000127,A,1,19,14,0,0
JB000128,A,0,19,12,0,0
JB000129,A,1,28,13,0,0
JB000130,A,0,55,17,1,2497
JB000131,A,1,48,15,1,2232
JB000132,A,0,36,15,0,0
JB000133,A,1,52,17,0,0
JB000134,A,1,45,12,0,0
JB000135,A,1,32,12,1,2110
JB000136,A,0,24,9,0,0
JB000137,A,1,42,13,0,0
JB000138,A,0,41,13,0,0
JB000139,A,1,32,9,0,0
JB000140,A,0,40,12,0,0
JB000141,A,1,32,18,1,2722
JB000142,A,1,29,15,1,2170
JB000143,A,1,40,15,0,0
JB000144,A,1,37,12,0,0
JB000145,A,0,52,13,0,0
JB000146,A,1,36,16,0,0
JB000147,A,0,46,17,1,2157
JB000148,A,1,23,12,0,0
JB000149,A,0,41,11,0,0
JB000150,A,1,20,18,0,0
JB000151,A,0,48,18,0,0
JB000152,A,0,31,15,1,2287
JB000153,A,1,30,13,1,2175
JB000154,A,0,53,13,1,2408
JB000155,A,0,38,15,0,0
JB000156,A,0,29,18,0,0
JB000157,A,0,43,15,0,0
JB000158,A,1,41,18,1,2455
JB000159,A,1,25,14,1,1510
JB000160,A,0,45,9,1,1281
JB000161,A,1,52,9,1,1931
JB000162,A,0,45,14,1,2324
JB000163,A,1,26,17,0,0
JB000164,A,1,43,14,1,2469
JB000165,A,1,55,9,0,0
JB000166,A,0,24,17,0,0
JB000167,A,0,34,11,0,0
JB000168,A,1,55,17,0,0
JB000169,A,0,48,15,1,2449
JB000170,A,1,21,16,0,0
JB000171,A,0,49,17,0,0
JB000172,A,0,39,11,1,1914
JB000173,A,0,51,15,0,0
JB000174,A,0,29,15,1,2100
JB000175,A,0,53,12,1,2500
JB000176,A,0,22,11,0,0
JB000177,A,1,51,18,0,0
JB000178,A,1,55,10,0,0
JB000179,A,1,24,17,0,0
JB000180,A,0,54,10,0,0
JB000181,A,1,26,14,0,0
JB000182,A,0,53,14,0,0
JB000183,A,1,35,12,0,0
JB000184,A,0,52,14,0,0
JB000185,A,1,26,13,1,1903
JB000186,A,0,44,10,1,1460
JB000187,A,0,44,14,1,1811
JB000188,A,0,53,11,1,1784
JB000189,A,0,39,11,0,0
JB000190,A,0,42,16,0,0
JB000191,A,1,34,13,0,0
JB000192,A,0,48,14,0,0
JB000193,A,1,39,17,1,2681
JB000194,A,1,35,16,1,2345
JB000195,A,0,54,12,1,1715
JB000196,A,1,47,18,1,2939
JB000197,A,1,47,17,1,2980
JB000198,A,1,46,14,1,1811
JB000199,A,1,50,13,0,0
JB000200,A,1,55,12,0,0
JB000201,A,0,47,11,0,0
JB000202,A,1,36,18,0,0
JB000203,A,1,21,11,1,1507
JB000204,A,0,48,17,1,2381
JB000205,A,1,24,10,1,1028
JB000206,A,0,47,10,1,1445
JB000207,A,1,49,18,0,0
JB000208,A,0,21,16,1,2353
JB000209,A,0,20,17,1,1873
JB000210,A,1,20,18,1,2490
JB000211,A,1,32,12,1,1744
JB000212,A,1,43,17,0,0
JB000213,A,0,46,18,1,2657
JB000214,A,1,53,17,1,2662
JB000215,A,1,50,17,1,2879
JB000216,A,1,23,12,1,1425
JB000217,A,0,53,13,1,1801
JB000218,A,1,24,18,0,0
JB000219,A,0,38,14,1,2155
JB000220,A,1,22,10,0,0
JB000221,A,1,29,13,1,2149
JB000222,A,1,19,18,1,2324
JB000223,A,0,30,15,0,0
JB000224,A,0,32,10,0,0
JB000225,A,0,30,17,1,1900
JB000226,A,0,20,10,0,0
JB000227,A,1,45,15,0,0
JB000228,A,1,32,10,0,0
JB000229,A,1,38,16,1,2464
JB000230,A,1,26,10,1,1517
JB000231,A,1,42,13,1,1928
JB000232,A,1,21,9,0,0
JB000233,A,1,21,14,1,2244
JB000234,A,0,25,15,1,1807
JB000235,A,0,51,15,0,0
JB000236,A,1,32,10,0,0
JB000237,A,0,19,14,1,1695
JB000238,A,0,19,16,0,0
JB000239,A,1,49,16,0,0
JB000240,A,0,23,9,0,0
JB000241,A,1,28,16,0,0
JB000242,A,0,25,12,0,0
JB000243,A,1,52,15,1,2030
JB000244,A,1,41,9,0,0
JB000245,A,1,47,13,0,0
JB000246,A,0,20,15,1,1788
JB000247,A,1,49,9,1,2039
JB000248,A,1,45,14,1,2356
JB000249,A,1,35,16,0,0
JB000250,A,0,47,17,0,0
JB000251,A,1,19,11,1,1870
JB000252,A,0,48,17,1,2708
JB000253,A,1,30,16,1,1860
JB000254,A,0,33,13,0,0
JB000255,A,0,26,14,0,0
JB000256,A,0,36,13,1,2075
JB000257,A,0,19,11,0,0
JB000258,A,1,50,16,1,2229
JB000259,A,0,47,9,0,0
JB000260,A,1,50,11,0,0
JB000261,A,0,33,18,1,2238
JB000262,A,1,27,10,0,0
JB000263,A,1,22,10,1,1505
JB000264,A,1,42,13,1,2475
JB000265,A,1,51,11,1,2147
JB000266,A,1,20,14,0,0
JB000267,A,1,43,9,0,0
JB000268,A,1,21,10,0,0
JB000269,A,0,22,11,1,1429
JB000270,A,1,22,13,1,1715
JB000271,A,1,45,11,1,1943
JB000272,A,0,43,12,0,0
JB000273,A,1,28,10,0,0
JB000274,A,1,49,10,1,2104
JB000275,A,0,43,10,1,1651
JB000276,A,0,47,13,1,1840
JB000277,A,1,54,10,0,0
JB000278,A,1,37,12,0,0
JB000279,A,0,21,17,0,0
JB000280,A,1,20,14,1,1828
JB000281,A,0,20,9,0,0
JB000282,A,1,51,15,0,0
JB000283,A,1,41,15,0,0
JB000284,A,1,50,17,0,0
JB000285,A,0,32,16,1,2367
JB000286,A,0,47,10,0,0
JB000287,A,0,50,12,0,0
JB000288,A,0,47,11,0,0
JB000289,A,0,20,16,0,0
JB000290,A,0,51,14,1,2339
JB000291,A,0,55,12,0,0
JB000292,A,1,33,11,0,0
JB000293,A,1,24,16,0,0
JB000294,A,0,48,13,1,2519
JB000295,A,0,51,10,0,0
JB000296,A,0,45,18,1,2270
JB000297,A,1,44,10,1,1481
JB000298,A,1,38,16,0,0
JB000299,A,1,25,18,0,0
JB000300,A,1,47,15,1,2601
JB000301,A,0,28,17,1,1772
JB000302,A,0,50,11,1,1784
JB000303,A,0,48,18,1,2607
JB000304,A,1,34,9,1,1316
JB000305,A,1,23,14,1,2133
JB000306,A,0,25,14,1,2161
JB000307,A,0,43,13,0,0
JB000308,A,0,48,10,0,0
JB000309,A,0,53,14,0,0
JB000310,A,1,54,14,0,0
JB000311,A,0,22,14,0,0
JB000312,A,0,21,12,0,0
JB000313,A,0,53,9,0,0
JB000314,A,1,39,16,0,0
JB000315,A,1,54,14,1,2384
JB000316,A,0,29,18,1,2177
JB000317,A,0,39,9,0,0
JB000318,A,1,20,15,0,0
JB000319,A,0,48,17,0,0
JB000320,A,0,23,11,1,1193
JB000321,A,0,29,17,1,1824
JB000322,A,0,24,12,1,1765
JB000323,A,0,21,16,1,1781
JB000324,A,0,45,10,1,1693
JB000325,A,1,20,18,0,0
JB000326,A,0,43,15,0,0
JB000327,A,0,28,17,1,2409
JB000328,A,0,46,12,0,0
JB000329,A,1,42,15,0,0
JB000330,A,0,37,14,0,0
JB000331,A,0,50,18,1,2327
JB000332,A,1,38,15,1,2292
JB000333,A,0,41,9,0,0
JB000334,A,1,35,13,1,1961
JB000335,A,1,53,18,1,2561
JB000336,A,1,50,14,0,0
JB000337,A,0,30,16,0,0
JB000338,A,0,25,13,0,0
JB000339,A,1,34,14,1,1600
JB000340,A,0,53,12,1,2308
JB000341,A,1,52,11,1,2304
JB000342,A,0,41,12,1,1430
JB000343,A,1,46,9,0,0
JB000344,A,0,35,12,1,1470
JB000345,A,1,35,16,0,0
JB000346,A,1,40,10,0,0
JB000347,A,0,33,15,1,1774
JB000348,A,0,40,14,0,0
JB000349,A,1,22,15,0,0
JB000350,A,0,42,10,1,1363
JB000351,A,1,44,10,0,0
JB000352,A,0,26,17,1,2416
JB000353,A,0,49,17,1,2111
JB000354,A,1,37,12,0,0
JB000355,A,0,21,18,0,0
JB000356,A,0,26,9,0,0
JB000357,A,1,54,17,1,2816
JB000358,A,1,47,14,1,1987
JB000359,A,0,30,14,1,1859
JB000360,A,1,22,9,0,0
JB000361,A,1,20,13,0,0
JB000362,A,1,30,12,0,0
JB000363,A,0,25,14,1,1644
JB000364,A,0,31,16,0,0
JB000365,A,1,22,11,0,0
JB000366,A,0,42,17,1,2007
JB000367,A,0,21,13,0,0
JB000368,A,1,34,9,1,1767
JB000369,A,1,49,10,1,1954
JB000370,A,0,19,18,1,1893
JB000371,A,1,22,15,1,1778
JB000372,A,0,28,10,1,1833
JB000373,A,1,49,11,0,0
JB000374,A,1,19,18,1,2043
JB000375,A,0,53,11,1,1596
JB000376,A,0,54,15,0,0
JB000377,A,0,54,11,0,0
JB000378,A,1,20,10,1,1288
JB000379,A,0,34,12,0,0
JB000380,A,0,20,11,0,0
JB000381,A,1,21,13,0,0
JB000382,A,1,52,10,1,2189
JB000383,A,0,33,15,1,2512
JB000384,A,1,28,18,1,2595
JB000385,A,0,38,17,1,2289
JB000386,A,0,25,10,1,1071
JB000387,A,0,43,13,1,2026
JB000388,A,1,38,14,1,2109
JB000389,A,0,47,14,1,2228
JB000390,A,0,54,14,1,2734
JB000391,A,0,35,11,0,0
JB000392,A,1,25,15,1,1588
JB000393,A,1,28,18,1,2799
JB000394,A,0,45,12,0,0
JB000395,A,0,32,10,0,0
JB000396,A,1,19,14,1,1998
JB000397,A,1,41,17,0,0
JB000398,A,0,42,14,0,0
JB000399,A,0,19,9,1,1635
JB000400,A,0,30,10,0,0
JB000401,A,0,24,17,0,0
JB000402,A,0,31,17,0,0
JB000403,A,0,41,16,0,0
JB000404,A,0,29,16,1,2459
JB000405,A,1,33,11,0,0
JB000406,A,0,30,15,1,2495
JB000407,A,1,51,12,0,0
JB000408,A,0,55,10,0,0
JB000409,A,1,49,11,1,2074
JB000410,A,1,49,14,0,0
JB000411,A,0,50,9,1,1274
JB000412,A,1,50,10,1,1391
JB000413,A,0,24,16,0,0
JB000414,A,0,35,15,1,2235
JB000415,A,1,38,14,0,0
JB000416,A,0,49,14,0,0
JB000417,A,1,35,10,0,0
JB000418,A,0,42,11,0,0
JB000419,A,1,40,13,0,0
JB000420,A,1,30,14,0,0
JB000421,A,1,22,15,0,0
JB000422,A,0,42,12,0,0
JB000423,A,0,25,18,1,1840
JB000424,A,0,34,11,0,0
JB000425,A,1,50,18,0,0
JB000426,A,1,43,13,1,2129
JB000427,A,0,35,18,0,0
JB000428,A,1,28,11,1,1447
JB000429,A,0,31,12,0,0
JB000430,A,1,39,15,0,0
JB000431,A,1,30,11,0,0
JB000432,A,0,44,13,0,0
JB000433,A,1,30,9,0,0
JB000434,A,0,51,11,0,0
JB000435,A,1,22,12,0,0
JB000436,A,0,46,13,0,0
JB000437,A,0,31,10,1,1808
JB000438,A,0,52,15,1,2292
JB000439,A,1,55,13,0,0
JB000440,A,1,55,15,0,0
JB000441,A,1,32,17,0,0
JB000442,A,1,19,13,0,0
JB000443,A,0,36,14,0,0
JB000444,A,1,23,15,0,0
JB000445,A,0,47,9,1,1922
JB000446,A,1,38,12,1,2043
JB000447,A,1,37,12,0,0
JB000448,A,0,20,13,0,0
JB000449,A,0,19,17,1,2523
JB000450,A,1,42,9,0,0
JB000451,A,1,22,17,0,0
JB000452,A,0,34,15,0,0
JB000453,A,0,50,12,1,2418
JB000454,A,0,34,11,0,0
JB000455,A,1,20,9,1,1289
JB000456,A,0,47,14,1,2465
JB000457,A,0,48,11,0,0
JB000458,A,1,47,12,0,0
JB000459,A,1,47,10,1,1643
JB000460,A,0,52,10,1,2192
JB000461,A,0,47,12,1,1931
JB000462,A,0,21,17,0,0
JB000463,A,1,22,12,1,1925
JB000464,A,0,37,13,1,1858
JB000465,A,1,24,17,1,1849
JB000466,A,0,43,11,1,2011
JB000467,A,0,55,13,1,2650
JB000468,A,0,29,13,0,0
JB000469,A,0,52,15,0,0
JB000470,A,1,55,16,1,2478
JB000471,A,1,22,10,0,0
JB000472,A,0,27,18,1,2240
JB000473,A,1,33,18,1,2214
JB000474,A,0,49,13,0,0
JB000475,A,0,20,12,1,1877
JB000476,A,0,22,14,1,1563
JB000477,A,1,23,16,0,0
JB000478,A,1,25,14,0,0
JB000479,A,0,54,17,1,2846
JB000480,A,0,28,18,0,0
JB000481,A,1,48,16,1,2612
JB000482,A,1,35,18,0,0
JB000483,A,1,30,14,0,0
JB000484,A,0,22,16,0,0
JB000485,A,0,23,18,1,2314
JB000486,A,1,49,16,1,2382
JB000487,A,0,21,9,0,0
JB000488,A,1,55,14,0,0
JB000489,A,0,48,18,1,2258
JB000490,A,1,49,18,1,2311
JB000491,A,0,41,12,0,0
JB000492,A,0,38,14,1,1948
JB000493,A,1,41,13,0,0
JB000494,A,1,55,15,0,0
JB000495,A,0,39,15,0,0
JB000496,A,1,51,15,1,2048
JB000497,A,0,20,12,1,1486
JB000498,A,1,26,16,0,0
JB000499,A,0,42,17,1,2579
JB000500,A,0,20,10,0,0
JB000501,A,1,33,9,1,1573
JB000502,A,1,26,17,1,2479
JB000503,A,0,32,13,1,2180
JB000504,A,0,46,17,0,0
JB000505,A,0,53,11,0,0
JB000506,A,0,29,10,0,0
JB000507,A,0,22,18,1,2571
JB000508,A,0,33,14,1,2137
JB000509,A,0,26,11,0,0
JB000510,A,0,47,10,1,1327
JB000511,A,1,39,16,1,2281
JB000512,A,0,35,15,1,1710
JB000513,A,1,44,11,0,0
JB000514,A,0,45,13,0,0
JB000515,A,1,23,16,1,1965
JB000516,A,1,47,9,1,1993
JB000517,A,1,26,10,0,0
JB000518,A,1,26,17,0,0
JB000519,A,1,34,10,0,0
JB000520,A,0,33,17,0,0
JB000521,A,1,50,17,0,0
JB000522,A,0,24,10,1,1099
JB000523,A,1,49,15,1,2663
JB000524,A,0,27,11,0,0
JB000525,A,1,38,15,1,2036
JB000526,A,1,44,11,0,0
JB000527,A,1,46,18,1,2156
JB000528,A,0,37,9,0,0
JB000529,A,1,22,14,0,0
JB000530,A,0,37,14,1,1715
JB000531,A,1,48,14,1,2593
JB000532,A,1,33,9,1,1365
JB000533,A,0,31,13,0,0
JB000534,A,1,45,9,0,0
JB000535,A,1,28,9,0,0
JB000536,A,0,19,12,0,0
JB000537,A,0,24,12,0,0
JB000538,A,1,27,17,0,0
JB000539,A,1,22,14,1,1855
JB000540,A,1,19,17,0,0
JB000541,A,1,21,13,1,1287
JB000542,A,0,30,17,1,2387
JB000543,A,0,30,9,0,0
JB000544,A,0,51,12,0,0
JB000545,A,1,34,12,0,0
JB000546,A,0,47,10,1,2115
JB000547,A,1,34,12,0,0
JB000548,A,1,46,18,0,0
JB000549,A,0,44,17,1,2209
JB000550,A,0,25,16,0,0
JB000551,A,0,35,15,0,0
JB000552,A,0,36,9,1,1604
JB000553,A,0,47,12,1,1504
JB000554,A,1,55,13,1,1810
JB000555,A,1,19,9,0,0
JB000556,A,0,24,15,0,0
JB000557,A,0,21,14,0,0
JB000558,A,1,53,16,1,2971
JB000559,A,1,25,10,1,1122
JB000560,A,1,27,16,0,0
JB000561,A,0,47,18,0,0
JB000562,A,1,54,16,0,0
JB000563,A,1,27,17,1,2073
JB000564,A,0,29,10,0,0
JB000565,A,1,55,10,1,1353
JB000566,A,1,44,12,1,2270
JB000567,A,1,35,9,0,0
JB000568,A,1,44,17,1,2321
JB000569,A,0,55,13,0,0
JB000570,A,0,24,13,0,0
JB000571,A,1,45,9,1,1629
JB000572,A,1,44,17,0,0
JB000573,A,0,33,14,1,1884
JB000574,A,0,42,11,0,0
JB000575,A,0,24,9,0,0
JB000576,A,1,42,15,0,0
JB000577,A,1,43,13,0,0
JB000578,A,0,35,14,0,0
JB000579,A,1,34,17,0,0
JB000580,A,1,39,12,0,0
JB000581,A,1,29,17,0,0
JB000582,A,1,42,17,0,0
JB000583,A,0,21,10,0,0
JB000584,A,0,33,10,1,1021
JB000585,A,0,26,13,1,2199
JB000586,A,1,37,10,0,0
JB000587,A,1,43,16,1,2730
JB000588,A,0,49,11,0,0
JB000589,A,0,47,14,1,2555
JB000590,A,1,25,11,0,0
JB000591,A,0,46,11,0,0
JB000592,A,0,41,13,1,1733
JB000593,A,1,38,17,0,0
JB000594,A,0,51,18,1,2900
JB000595,A,0,41,9,0,0
JB000596,A,1,29,18,1,2557
JB000597,A,0,38,16,0,0
JB000598,A,1,38,9,1,1044
JB000599,A,1,55,17,0,0
JB000600,A,1,40,13,0,0
JB000601,B,0,44,11,1,2343
JB000602,B,0,42,9,0,0
JB000603,B,0,42,11,1,1493
JB000604,B,1,42,17,1,2527
JB000605,B,0,19,9,1,1463
JB000606,B,0,43,16,1,2002
JB000607,B,0,19,13,0,0
JB000608,B,0,54,18,1,2750
JB000609,B,1,33,15,0,0
JB000610,B,0,28,18,0,0
JB000611,B,0,41,13,0,0
JB000612,B,0,23,17,0,0
JB000613,B,1,41,12,1,1983
JB000614,B,1,46,10,0,0
JB000615,B,1,36,14,0,0
JB000616,B,1,25,11,1,1693
JB000617,B,1,49,9,0,0
JB000618,B,0,21,18,0,0
JB000619,B,0,37,15,1,2570
JB000620,B,1,34,9,1,1886
JB000621,B,0,26,16,1,1873
JB000622,B,0,40,9,0,0
JB000623,B,1,41,15,1,2624
JB000624,B,0,53,13,1,2693
JB000625,B,0,29,14,1,2492
JB000626,B,0,48,13,0,0
JB000627,B,1,31,12,1,2228
JB000628,B,0,32,18,1,2222
JB000629,B,0,41,9,1,1906
JB000630,B,1,38,16,0,0
JB000631,B,0,46,12,0,0
JB000632,B,0,39,9,0,0
JB000633,B,0,51,12,1,1717
JB000634,B,1,22,9,0,0
JB000635,B,1,55,16,1,2747
JB000636,B,1,44,13,0,0
JB000637,B,1,46,12,1,1952
JB000638,B,0,22,15,1,2249
JB000639,B,0,45,14,0,0
JB000640,B,0,40,18,1,2610
JB000641,B,0,40,10,0,0
JB000642,B,0,29,17,0,0
JB000643,B,0,24,16,0,0
JB000644,B,0,34,12,0,0
JB000645,B,0,53,14,1,2011
JB000646,B,1,20,12,0,0
JB000647,B,1,47,9,0,0
JB000648,B,0,23,16,0,0
JB000649,B,0,37,9,1,1233
JB000650,B,1,32,16,0,0
JB000651,B,1,43,11,1,1802
JB000652,B,1,31,11,0,0
JB000653,B,0,37,13,1,2168
JB000654,B,0,28,12,0,0
JB000655,B,0,25,11,1,2076
JB000656,B,1,40,11,0,0
JB000657,B,1,49,17,0,0
JB000658,B,1,25,10,0,0
JB000659,B,1,54,10,0,0
JB000660,B,0,30,14,0,0
JB000661,B,1,43,9,1,2095
JB000662,B,0,22,16,1,2470
JB000663,B,1,36,10,1,1955
JB000664,B,0,47,16,1,2766
JB000665,B,0,44,14,0,0
JB000666,B,0,27,18,0,0
JB000667,B,1,41,18,1,2933
JB000668,B,0,24,12,0,0
JB000669,B,1,26,10,1,1184
JB000670,B,0,36,9,0,0
JB000671,B,1,51,15,1,2207
JB000672,B,0,28,14,1,2393
JB000673,B,0,23,9,1,1009
JB000674,B,1,49,16,1,2728
JB000675,B,1,31,18,0,0
JB000676,B,1,32,16,0,0
JB000677,B,0,55,12,0,0
JB000678,B,0,34,18,0,0
JB000679,B,0,43,11,1,1791
JB000680,B,1,50,14,0,0
JB000681,B,1,20,18,1,2747
JB000682,B,0,53,10,1,1817
JB000683,B,0,21,12,0,0
JB000684,B,1,23,18,1,2770
JB000685,B,1,28,13,0,0
JB000686,B,0,44,16,0,0
JB000687,B,1,25,12,0,0
JB000688,B,0,27,12,0,0
JB000689,B,1,28,12,1,1600
JB000690,B,0,41,16,0,0
JB000691,B,1,48,9,0,0
JB000692,B,1,49,18,1,2369
JB000693,B,0,50,16,1,2997
JB000694,B,1,29,11,0,0
JB000695,B,0,43,17,1,2830
JB000696,B,1,44,14,0,0
JB000697,B,1,50,12,1,1868
JB000698,B,0,29,17,1,2446
JB000699,B,0,29,17,0,0
JB000700,B,1,50,15,0,0
JB000701,B,0,27,12,1,1997
JB000702,B,0,26,11,1,2099
JB000703,B,0,27,10,1,1992
JB000704,B,0,55,15,0,0
JB000705,B,0,24,15,1,2241
JB000706,B,0,51,9,0,0
JB000707,B,0,31,18,0,0
JB000708,B,0,39,14,1,2600
JB000709,B,1,33,17,0,0
JB000710,B,0,19,10,0,0
JB000711,B,0,43,18,1,2478
JB000712,B,0,33,17,1,2386
JB000713,B,1,29,13,0,0
JB000714,B,0,55,16,1,2929
JB000715,B,0,35,14,0,0
JB000716,B,1,27,15,1,1984
JB000717,B,0,44,17,1,2859
JB000718,B,1,49,16,0,0
JB000719,B,0,51,9,1,2070
JB000720,B,1,19,18,0,0
JB000721,B,0,31,9,0,0
JB000722,B,0,41,10,1,1284
JB000723,B,1,41,10,1,1776
JB000724,B,1,40,12,0,0
JB000725,B,0,29,16,0,0
JB000726,B,1,39,14,1,2382
JB000727,B,1,32,13,0,0
JB000728,B,1,49,16,1,2326
JB000729,B,0,33,9,0,0
JB000730,B,0,47,15,1,2857
JB000731,B,1,42,9,1,1406
JB000732,B,1,19,12,1,1120
JB000733,B,0,29,10,1,1074
JB000734,B,0,27,13,0,0
JB000735,B,1,27,10,0,0
JB000736,B,0,27,9,1,1721
JB000737,B,1,33,16,0,0
JB000738,B,0,31,17,1,2711
JB000739,B,1,43,10,1,1623
JB000740,B,1,36,18,1,2150
JB000741,B,1,48,9,1,1530
JB000742,B,0,36,12,0,0
JB000743,B,0,31,17,0,0
JB000744,B,0,50,13,0,0
JB000745,B,1,40,18,1,2898
JB000746,B,0,44,16,0,0
JB000747,B,0,37,9,0,0
JB000748,B,1,46,11,0,0
JB000749,B,0,28,13,0,0
JB000750,B,1,39,11,1,2160
JB000751,B,1,42,17,1,2634
JB000752,B,0,53,12,0,0
JB000753,B,0,22,16,0,0
JB000754,B,0,29,15,1,2223
JB000755,B,1,34,13,1,1547
JB000756,B,1,54,9,1,1387
JB000757,B,0,22,9,0,0
JB000758,B,0,30,9,0,0
JB000759,B,1,51,17,1,3147
JB000760,B,0,51,18,1,2550
JB000761,B,0,42,10,0,0
JB000762,B,1,30,14,1,1702
JB000763,B,1,20,16,0,0
JB000764,B,0,42,11,0,0
JB000765,B,1,40,14,0,0
JB000766,B,0,36,10,0,0
JB000767,B,0,30,15,0,0
JB000768,B,1,38,15,0,0
JB000769,B,0,32,12,0,0
JB000770,B,1,46,14,1,1949
JB000771,B,1,32,18,0,0
JB000772,B,0,40,15,1,2332
JB000773,B,1,55,13,1,2418
JB000774,B,0,21,12,1,1271
JB000775,B,1,44,11,0,0
JB000776,B,0,20,17,1,2214
JB000777,B,0,34,10,1,1592
JB000778,B,1,25,9,0,0
JB000779,B,0,35,11,1,1283
JB000780,B,1,41,16,0,0
JB000781,B,1,53,14,0,0
JB000782,B,1,37,16,0,0
JB000783,B,0,52,17,0,0
JB000784,B,1,45,16,0,0
JB000785,B,0,47,14,0,0
JB000786,B,1,40,18,0,0
JB000787,B,0,51,16,0,0
JB000788,B,1,48,12,0,0
JB000789,B,1,33,11,0,0
JB000790,B,0,44,10,0,0
JB000791,B,1,38,12,0,0
JB000792,B,0,51,10,1,2230
JB000793,B,0,46,14,1,2377
JB000794,B,0,31,18,1,2595
JB000795,B,1,40,14,0,0
JB000796,B,1,43,12,0,0
JB000797,B,1,31,12,0,0
JB000798,B,1,35,13,0,0
