applicant_id,site,female,age,education_years,employed_baseline,earnings_baseline
JT000167,A,0,45,18,0,0
JT000168,A,0,37,12,1,1939
JT000169,A,0,47,15,1,2160
JT000170,A,1,54,14,0,0
JT000171,A,0,49,9,1,1836
JT000172,A,1,34,10,0,0
JT000173,A,0,27,15,1,1853
JT000174,A,1,52,9,0,0
JT000175,A,1,19,10,0,0
JT000176,A,0,43,16,0,0
JT000177,A,1,47,14,1,1718
JT000178,A,1,44,18,1,2728
JT000179,A,1,54,10,0,0
JT000180,A,1,27,16,0,0
JT000181,A,1,33,11,0,0
JT000182,A,1,25,9,0,0
JT000183,A,1,51,11,0,0
JT000184,A,0,52,10,1,2242
JT000185,A,0,41,16,0,0
JT000186,A,0,31,13,0,0
JT000187,A,1,48,14,1,1848
JT000188,A,0,28,17,0,0
JT000189,A,1,54,9,0,0
JT000190,A,0,20,13,1,1160
JT000191,A,0,49,17,1,3039
JT000192,A,1,31,14,1,1659
JT000193,A,0,24,12,0,0
JT000194,A,0,50,11,0,0
JT000195,A,1,52,11,1,2224
JT000196,A,1,24,13,0,0
JT000197,A,0,47,14,1,2330
JT000198,A,1,25,10,0,0
JT000199,A,0,51,12,1,2469
JT000200,A,1,47,13,1,2322
JT000201,A,0,20,17,1,2079
JT000202,A,0,51,10,0,0
JT000203,A,0,26,9,0,0
JT000204,A,0,31,17,1,2083
JT000205,A,0,30,17,0,0
JT000206,A,1,55,12,0,0
JT000207,A,1,44,13,0,0
JT000208,A,0,33,15,0,0
JT000209,A,0,22,11,1,955
JT000210,A,0,45,18,0,0
JT000211,A,1,26,12,1,1456
JT000212,A,1,26,14,1,1945
JT000213,A,0,39,18,0,0
JT000214,A,1,43,16,0,0
JT000215,A,1,46,18,1,3039
JT000216,A,0,52,10,1,1611
JT000217,A,1,27,17,0,0
JT000218,A,1,52,11,1,1520
JT000219,A,1,24,11,0,0
JT000220,A,0,34,18,1,2194
JT000221,A,0,31,13,0,0
JT000222,A,1,54,14,0,0
JT000223,A,0,24,16,0,0
JT000224,A,0,30,13,0,0
JT000225,A,0,22,14,1,1695
JT000226,A,1,25,11,1,1088
JT000227,A,1,26,12,0,0
JT000228,A,1,41,10,0,0
JT000229,A,0,50,17,1,2813
JT000230,A,0,23,18,0,0
JT000231,A,1,37,11,0,0
JT000232,A,0,26,11,1,1851
JT000233,A,1,43,18,1,2488
JT000234,A,0,19,13,1,1721
JT000235,A,1,41,16,1,2169
JT000236,A,0,20,15,1,1496
JT000237,A,1,55,10,1,1888
JT000238,A,0,22,14,1,1497
JT000239,A,0,26,12,0,0
JT000240,A,1,43,9,1,1559
JT000241,A,1,48,15,0,0
JT000242,A,1,41,14,0,0
JT000243,A,1,37,9,1,1813
JT000244,A,0,41,16,0,0
JT000245,A,1,33,14,1,2273
JT000246,A,1,42,13,0,0
JT000247,A,1,22,18,0,0
JT000248,A,0,37,15,0,0
JT000249,A,0,19,11,0,0
JT000250,A,1,53,15,1,2216
JT000251,A,0,43,12,1,2129
JT000252,A,1,37,9,0,0
JT000253,A,1,28,12,0,0
JT000254,A,0,31,9,0,0
JT000255,A,1,46,10,0,0
JT000256,A,1,22,17,0,0
JT000257,A,0,28,17,1,2498
JT000258,A,0,26,11,1,1703
JT000259,A,1,23,15,0,0
JT000260,A,0,35,15,1,1635
JT000261,A,0,31,16,0,0
JT000262,A,1,30,13,0,0
JT000263,A,1,23,13,0,0
JT000264,A,0,51,14,0,0
JT000265,A,1,51,11,1,1651
JT000266,A,0,41,18,1,2796
JT000267,A,0,47,14,0,0
JT000268,A,0,35,12,0,0
JT000269,A,0,40,9,1,1234
JT000270,A,0,43,11,0,0
JT000271,A,0,30,18,1,2210
JT000272,A,1,51,11,0,0
JT000273,A,1,22,15,1,1925
JT000274,A,0,47,13,1,2267
JT000275,A,1,33,14,0,0
JT000276,A,1,52,10,1,1753
JT000277,A,1,26,10,0,0
JT000278,A,1,24,9,0,0
JT000279,A,0,27,13,0,0
JT000280,A,0,38,15,1,2336
JT000281,A,1,55,10,0,0
JT000282,A,0,44,18,1,2833
JT000283,A,0,31,18,1,2510
JT000284,A,0,46,14,0,0
JT000285,A,1,23,11,1,1864
JT000286,A,0,46,12,1,2210
JT000287,A,1,21,9,0,0
JT000288,A,0,47,9,1,1784
JT000289,A,1,47,14,1,2324
JT000290,A,0,54,18,0,0
JT000291,A,1,54,17,1,2998
JT000292,A,0,26,11,0,0
JT000293,A,1,55,11,0,0
JT000294,A,0,28,10,0,0
JT000295,A,0,47,14,1,1695
JT000296,A,0,25,14,0,0
JT000297,A,0,29,10,1,1383
JT000298,A,0,49,11,1,1845
JT000299,A,1,43,18,1,2082
JT000300,A,1,48,15,1,2395
JT000301,A,1,42,14,0,0
JT000302,A,0,23,13,0,0
JT000303,A,1,32,18,1,1966
JT000304,A,1,24,15,0,0
JT000305,A,0,30,12,0,0
JT000306,A,0,44,15,1,1778
JT000307,A,1,19,13,0,0
JT000308,A,1,55,10,0,0
JT000309,A,0,39,11,1,2141
JT000310,A,1,21,9,0,0
JT000311,A,0,34,15,0,0
JT000312,A,1,33,12,0,0
JT000313,A,1,51,18,1,2380
JT000314,A,0,34,15,1,1872
JT000315,A,1,29,9,0,0
JT000316,A,1,52,16,1,2612
JT000317,A,1,37,14,0,0
JT000318,A,0,40,17,0,0
JT000319,A,1,31,15,1,1841
JT000320,A,1,41,12,0,0
JT000321,A,0,48,18,1,2844
JT000322,A,1,26,15,1,1545
JT000323,A,0,49,12,1,2023
JT000324,A,0,35,15,1,2356
JT000325,A,0,28,14,1,2340
JT000326,A,1,39,9,1,1884
JT000327,A,0,19,16,1,1472
JT000328,A,1,52,17,0,0
JT000329,A,0,33,13,1,2310
JT000330,A,0,35,12,0,0
JT000331,A,0,19,17,1,1889
JT000332,A,1,35,17,1,2439
JT000333,A,0,36,17,0,0
JT000334,A,0,55,13,1,2259
JT000335,A,1,23,16,0,0
JT000336,A,0,34,17,0,0
JT000337,A,1,32,16,0,0
JT000338,A,0,46,14,0,0
JT000339,A,0,50,13,1,2443
JT000340,A,0,29,15,1,2186
JT000341,A,1,40,17,1,1967
JT000342,A,1,27,16,0,0
JT000343,A,0,28,15,0,0
JT000344,A,0,45,11,0,0
JT000345,A,1,41,15,1,2191
JT000346,A,0,39,9,1,1147
JT000347,A,1,42,10,0,0
JT000348,A,1,29,12,1,1980
JT000349,A,1,41,18,0,0
JT000350,A,1,42,11,0,0
JT000351,A,1,33,10,0,0
JT000352,A,1,51,10,1,1909
JT000353,A,1,48,9,0,0
JT000354,A,0,34,15,1,2209
JT000355,A,0,26,16,0,0
JT000356,A,0,20,17,1,2112
JT000357,A,1,46,16,1,2766
JT000358,A,0,31,18,1,2197
JT000359,A,1,50,11,0,0
JT000360,A,1,43,13,1,2196
JT000361,A,0,48,16,1,1975
JT000362,A,0,27,13,0,0
JT000363,A,1,33,13,1,1419
JT000364,A,1,42,15,0,0
JT000365,A,1,25,12,1,1484
JT000366,A,1,40,17,0,0
JT000367,A,1,53,11,1,1978
JT000368,A,1,54,10,1,2249
JT000369,A,0,49,10,1,2150
JT000370,A,0,38,14,1,2404
JT000371,A,0,37,17,1,2304
JT000372,A,1,36,17,1,2677
JT000373,A,0,26,13,1,1938
JT000374,A,1,26,16,0,0
JT000375,A,0,45,11,0,0
JT000376,A,1,29,16,0,0
JT000377,A,0,30,14,1,1832
JT000378,A,0,32,10,1,1537
JT000379,A,1,45,15,1,2593
JT000380,A,1,20,14,0,0
JT000381,A,1,30,17,0,0
JT000382,A,1,54,15,1,2859
JT000383,A,1,45,15,1,2338
JT000384,A,0,26,9,0,0
JT000385,A,1,49,10,1,1492
JT000386,A,1,50,14,0,0
JT000387,A,1,23,11,1,1292
JT000388,A,0,45,11,0,0
JT000389,A,1,42,11,0,0
JT000390,A,1,48,17,1,2305
JT000391,A,0,48,11,0,0
JT000392,A,0,55,14,0,0
JT000393,A,0,32,16,1,1932
JT000394,A,0,39,9,0,0
JT000395,A,1,22,9,0,0
JT000396,A,1,21,14,1,1786
JT000397,A,1,38,9,0,0
JT000398,A,0,43,9,1,1091
JT000399,A,0,28,10,0,0
JT000400,A,0,21,9,1,1099
JT000401,A,0,51,10,0,0
JT000402,A,0,34,14,0,0
JT000403,A,0,46,17,0,0
JT000404,A,0,27,16,0,0
JT000405,A,1,27,13,1,1588
JT000406,A,0,34,13,0,0
JT000407,A,1,35,17,1,2510
JT000408,A,0,41,10,0,0
JT000409,A,0,33,13,0,0
JT000410,A,0,45,9,1,1750
JT000411,A,0,33,18,1,2306
JT000412,A,1,34,9,1,1705
JT000413,A,1,30,17,1,1940
JT000414,A,0,30,17,0,0
JT000415,A,0,19,15,1,2237
JT000416,A,1,38,17,0,0
JT000417,A,0,36,11,0,0
JT000418,A,1,33,16,1,1992
JT000419,A,1,48,15,0,0
JT000420,A,0,38,10,0,0
JT000421,A,0,39,18,1,2358
JT000422,A,0,39,13,0,0
JT000423,A,1,47,16,0,0
JT000424,A,1,42,11,1,1285
JT000425,A,1,37,18,1,2664
JT000426,A,1,26,17,1,2588
JT000427,A,1,19,14,1,1704
JT000428,A,1,34,12,0,0
JT000429,A,0,38,15,0,0
JT000430,A,0,47,14,1,2386
JT000431,A,1,52,15,0,0
JT000432,A,1,52,16,0,0
JT000433,A,0,54,17,1,2545
JT000434,A,1,20,10,0,0
JT000435,A,1,24,18,1,1952
JT000436,A,0,37,13,1,2205
JT000437,A,1,20,16,0,0
JT000438,A,1,29,17,0,0
JT000439,A,1,30,12,1,1854
JT000440,A,1,52,9,0,0
JT000441,A,1,26,9,0,0
JT000442,A,0,45,11,0,0
JT000443,A,0,48,13,0,0
JT000444,A,0,44,12,0,0
JT000445,A,1,46,12,1,1460
JT000446,A,0,20,18,0,0
JT000447,A,1,49,14,1,2640
JT000448,A,0,52,12,0,0
JT000449,A,0,39,18,0,0
JT000450,A,1,44,12,1,1730
JT000451,A,0,48,11,1,2047
JT000452,A,0,20,15,0,0
JT000453,A,1,24,12,1,1305
JT000454,A,0,53,10,1,1466
JT000455,A,0,45,12,0,0
JT000456,A,0,31,10,0,0
JT000457,A,0,40,15,0,0
JT000458,A,1,54,17,0,0
JT000459,A,1,48,9,1,1678
JT000460,A,0,29,13,0,0
JT000461,A,1,34,17,0,0
JT000462,A,0,42,17,0,0
JT000463,A,1,23,16,0,0
JT000464,A,1,23,10,1,1603
JT000465,A,1,46,9,1,1826
JT000466,A,1,42,9,0,0
JT000467,A,0,45,17,0,0
JT000468,A,0,33,11,0,0
JT000469,A,0,54,14,1,1852
JT000470,A,1,54,9,1,1405
JT000471,A,0,39,10,0,0
JT000472,A,1,52,14,1,2735
JT000473,A,1,37,13,0,0
JT000474,A,0,26,13,1,2004
JT000475,A,1,33,14,0,0
JT000476,A,1,44,18,0,0
JT000477,A,0,30,9,0,0
JT000478,A,0,40,15,1,2474
JT000479,A,1,28,15,0,0
JT000480,A,1,29,9,1,1594
JT000481,A,1,31,14,0,0
JT000482,A,1,27,11,1,1062
JT000483,A,1,36,15,0,0
JT000484,A,1,51,13,1,2246
JT000485,A,1,21,13,1,1729
JT000486,A,0,26,13,0,0
JT000487,A,0,28,18,0,0
JT000488,A,0,36,15,1,2293
JT000489,A,1,34,17,0,0
JT000490,A,1,52,14,0,0
JT000491,A,0,50,14,1,1839
JT000492,A,1,34,17,1,2398
JT000493,A,1,29,12,0,0
JT000494,A,0,50,14,0,0
JT000495,A,0,27,10,0,0
JT000496,A,1,19,15,1,1957
JT000497,A,1,24,9,1,1467
JT000498,A,0,51,14,0,0
JT000499,A,1,22,9,0,0
JT000500,A,0,19,11,0,0
JT000501,A,1,34,12,0,0
JT000502,A,1,34,18,1,1982
JT000503,A,1,21,9,1,1625
JT000504,A,1,23,9,1,1494
JT000505,A,1,29,10,1,1463
JT000506,A,0,22,17,1,2309
JT000507,A,1,48,16,0,0
JT000508,A,1,48,18,1,3054
JT000509,A,0,19,9,0,0
JT000510,A,0,54,9,0,0
JT000511,A,1,36,14,1,2264
JT000512,A,1,32,17,1,2592
JT000513,A,0,23,14,0,0
JT000514,A,0,34,14,1,2382
JT000515,A,1,42,12,0,0
JT000516,A,1,21,11,0,0
JT000517,A,1,49,12,0,0
JT000518,A,1,52,11,0,0
JT000519,A,1,42,18,0,0
JT000520,A,1,52,10,0,0
JT000521,A,0,43,17,0,0
JT000522,A,1,36,13,0,0
JT000523,A,0,20,11,0,0
JT000524,A,0,37,16,0,0
JT000525,A,0,24,10,1,1359
JT000526,A,1,24,13,0,0
JT000527,A,0,29,15,0,0
JT000528,A,1,30,18,0,0
JT000529,A,1,19,17,0,0
JT000530,A,1,19,15,1,2155
JT000531,A,0,42,16,1,2458
JT000532,A,1,40,15,0,0
JT000533,A,0,39,16,1,2276
JT000534,A,1,23,12,0,0
JT000535,A,0,23,16,0,0
JT000536,A,1,51,18,0,0
JT000537,A,1,23,14,1,1741
JT000538,A,1,33,18,0,0
JT000539,A,0,51,18,1,2754
JT000540,A,1,48,9,1,1910
JT000541,A,0,32,11,0,0
JT000542,A,0,27,14,1,1687
JT000543,A,0,40,13,0,0
JT000544,A,1,34,12,0,0
JT000545,A,1,38,15,1,1845
JT000546,A,0,26,12,0,0
JT000547,A,1,54,12,0,0
JT000548,A,1,42,14,0,0
JT000549,A,0,42,18,0,0
JT000550,A,1,50,18,1,2786
JT000551,A,0,48,13,0,0
JT000552,A,0,44,12,0,0
JT000553,A,1,55,18,1,2542
JT000554,A,1,32,12,1,1695
JT000555,A,1,51,12,0,0
JT000556,A,1,22,15,0,0
JT000557,A,0,44,18,1,2368
JT000558,A,0,54,16,0,0
JT000559,A,0,46,9,1,1179
JT000560,A,1,36,16,1,1964
JT000561,A,1,26,14,0,0
JT000562,A,0,38,15,1,2065
JT000563,A,0,47,9,0,0
JT000564,A,0,47,16,1,2165
JT000565,A,0,53,12,1,1736
JT000566,A,1,43,12,1,2134
JT000567,A,0,46,15,0,0
JT000568,A,1,30,12,1,1749
JT000569,A,0,38,14,1,1742
JT000570,A,1,20,17,1,1642
JT000571,A,1,50,12,0,0
JT000572,A,0,23,9,0,0
JT000573,A,0,21,11,0,0
JT000574,A,0,21,15,1,1725
JT000575,A,1,54,16,0,0
JT000576,A,1,53,13,0,0
JT000577,A,1,27,10,0,0
JT000578,A,1,31,9,0,0
JT000579,A,1,49,18,0,0
JT000580,A,0,49,12,1,1523
JT000581,A,1,37,16,1,2367
JT000582,A,0,29,16,0,0
JT000583,A,1,28,16,0,0
JT000584,A,1,31,16,1,1979
JT000585,A,1,53,12,0,0
JT000586,A,1,41,15,0,0
JT000587,A,1,29,16,0,0
JT000588,A,1,40,9,1,1219
JT000589,A,1,32,12,1,1301
JT000590,A,0,47,17,0,0
JT000591,A,0,31,12,1,1744
JT000592,A,1,43,9,1,1473
JT000593,A,0,42,14,0,0
JT000594,A,1,36,17,1,1910
JT000595,A,0,41,14,0,0
JT000596,A,0,48,15,1,2523
JT000597,A,1,40,15,1,2235
JT000598,A,1,52,9,1,1664
JT000599,A,0,37,15,0,0
JT000600,A,0,53,13,0,0
JT000601,B,1,35,18,0,0
JT000602,B,1,46,14,1,1880
JT000603,B,0,36,15,1,2502
JT000604,B,1,36,16,0,0
JT000605,B,0,24,9,0,0
JT000606,B,0,34,10,1,1547
JT000607,B,1,55,13,0,0
JT000608,B,1,46,16,1,2135
JT000609,B,1,37,11,1,2029
JT000610,B,0,28,11,1,1194
JT000611,B,1,27,17,1,2799
JT000612,B,0,27,15,1,1646
JT000613,B,0,39,17,0,0
JT000614,B,0,19,14,1,1466
JT000615,B,0,50,18,1,2874
JT000616,B,1,43,17,0,0
JT000617,B,0,42,10,0,0
JT000618,B,0,45,16,1,2156
JT000619,B,0,50,16,0,0
JT000620,B,0,43,17,0,0
JT000621,B,1,43,10,1,2140
JT000622,B,0,52,15,0,0
JT000623,B,0,21,14,1,2108
JT000624,B,0,21,13,1,2252
JT000625,B,0,42,14,1,2459
JT000626,B,1,47,14,1,2051
JT000627,B,1,54,17,1,3052
JT000628,B,0,49,11,1,1588
JT000629,B,1,48,17,1,2191
JT000630,B,1,54,15,0,0
JT000631,B,0,32,10,1,2064
JT000632,B,0,46,13,0,0
JT000633,B,1,29,18,0,0
JT000634,B,0,35,14,0,0
JT000635,B,0,40,11,0,0
JT000636,B,1,41,15,1,2675
JT000637,B,0,31,13,1,1767
JT000638,B,1,54,10,0,0
JT000639,B,1,40,10,0,0
JT000640,B,0,51,9,1,2253
JT000641,B,0,49,11,1,1713
JT000642,B,0,39,16,0,0
JT000643,B,0,29,12,1,1889
JT000644,B,0,28,17,0,0
JT000645,B,0,26,12,0,0
JT000646,B,0,30,9,1,1200
JT000647,B,0,38,18,1,2208
JT000648,B,0,21,10,0,0
JT000649,B,1,23,15,1,2123
JT000650,B,0,26,11,0,0
JT000651,B,1,19,15,0,0
JT000652,B,0,46,14,0,0
JT000653,B,1,26,11,1,1504
JT000654,B,1,52,9,0,0
JT000655,B,0,44,17,1,2134
JT000656,B,1,32,15,0,0
JT000657,B,1,42,14,0,0
JT000658,B,0,49,18,1,2773
JT000659,B,1,50,13,1,2213
JT000660,B,0,34,18,1,2989
JT000661,B,0,19,14,0,0
JT000662,B,1,29,17,1,2288
JT000663,B,1,39,18,1,2628
JT000664,B,1,50,14,1,2669
JT000665,B,1,34,18,1,2311
JT000666,B,0,54,13,0,0
JT000667,B,1,23,11,0,0
JT000668,B,1,37,18,0,0
JT000669,B,1,24,12,1,2110
JT000670,B,1,52,12,1,2527
JT000671,B,0,54,17,1,2508
JT000672,B,1,34,14,0,0
JT000673,B,1,31,15,0,0
JT000674,B,1,40,9,1,1449
JT000675,B,1,42,13,0,0
JT000676,B,0,55,15,1,2474
JT000677,B,1,50,10,0,0
JT000678,B,1,25,11,0,0
JT000679,B,0,34,16,1,2423
JT000680,B,1,37,12,1,1599
JT000681,B,0,43,17,1,2795
JT000682,B,1,37,18,1,2402
JT000683,B,0,30,16,0,0
JT000684,B,0,48,9,1,1719
JT000685,B,0,32,10,1,1834
JT000686,B,1,41,10,1,1589
JT000687,B,1,39,9,1,1956
JT000688,B,1,33,13,0,0
JT000689,B,0,55,9,0,0
JT000690,B,0,43,10,1,2185
JT000691,B,0,32,18,1,2142
JT000692,B,1,48,13,1,2358
JT000693,B,1,47,14,1,2323
JT000694,B,0,47,15,1,2904
JT000695,B,1,23,9,0,0
JT000696,B,0,19,16,0,0
JT000697,B,1,40,17,1,3024
JT000698,B,0,47,16,0,0
JT000699,B,1,36,14,0,0
JT000700,B,1,31,15,1,2280
JT000701,B,0,49,13,0,0
JT000702,B,1,26,11,1,1200
JT000703,B,0,31,10,1,1264
JT000704,B,0,29,13,0,0
JT000705,B,0,23,16,0,0
JT000706,B,1,27,15,0,0
JT000707,B,0,46,14,1,2113
JT000708,B,1,41,14,1,2143
JT000709,B,0,43,11,0,0
JT000710,B,0,49,12,1,1648
JT000711,B,0,27,17,1,2047
JT000712,B,1,52,15,0,0
JT000713,B,1,43,13,1,2163
JT000714,B,0,44,10,0,0
JT000715,B,0,21,14,1,2226
JT000716,B,1,42,16,0,0
JT000717,B,1,31,12,0,0
JT000718,B,1,29,14,1,2063
JT000719,B,0,52,18,1,3181
JT000720,B,1,41,9,0,0
JT000721,B,1,46,17,0,0
JT000722,B,1,31,10,1,1746
JT000723,B,1,29,15,1,1848
JT000724,B,1,44,11,0,0
JT000725,B,0,46,14,0,0
JT000726,B,1,54,9,0,0
JT000727,B,1,47,17,0,0
JT000728,B,0,19,16,1,2345
JT000729,B,0,24,9,0,0
JT000730,B,1,39,11,1,1347
JT000731,B,0,32,12,1,1355
JT000732,B,0,27,10,0,0
JT000733,B,0,26,17,0,0
JT000734,B,0,41,15,0,0
JT000735,B,0,30,9,0,0
JT000736,B,0,41,13,1,1728
JT000737,B,1,50,15,1,2770
JT000738,B,1,45,10,1,2115
JT000739,B,0,19,11,0,0
JT000740,B,0,40,12,0,0
JT000741,B,0,41,11,1,1832
JT000742,B,0,31,14,0,0
JT000743,B,1,39,11,0,0
JT000744,B,1,55,16,0,0
JT000745,B,0,27,15,1,2462
JT000746,B,0,55,17,0,0
JT000747,B,1,21,11,0,0
JT000748,B,0,20,16,1,1676
JT000749,B,1,36,14,0,0
JT000750,B,0,26,14,1,2006
JT000751,B,1,39,14,1,2423
JT000752,B,0,37,15,1,2006
JT000753,B,1,51,12,0,0
JT000754,B,1,44,13,0,0
JT000755,B,1,25,15,1,2379
JT000756,B,1,30,17,1,2840
JT000757,B,1,52,14,0,0
JT000758,B,0,32,11,0,0
JT000759,B,1,46,17,1,2833
JT000760,B,0,43,16,1,2548
JT000761,B,0,47,12,1,1599
JT000762,B,0,39,15,1,2600
JT000763,B,1,36,17,1,2946
JT000764,B,1,28,18,1,2686
JT000765,B,0,51,11,0,0
JT000766,B,0,51,17,1,2855
JT000767,B,1,27,9,1,1013
JT000768,B,1,27,10,0,0
JT000769,B,1,52,12,0,0
JT000770,B,0,28,18,0,0
JT000771,B,0,22,10,1,1725
JT000772,B,0,54,15,1,2148
JT000773,B,1,41,17,0,0
JT000774,B,0,29,13,1,1630
JT000775,B,1,52,16,0,0
JT000776,B,0,26,10,0,0
JT000777,B,1,33,15,1,2644
JT000778,B,0,27,10,1,1484
JT000779,B,1,46,14,1,1788
JT000780,B,0,46,15,1,2890
JT000781,B,1,51,13,0,0
JT000782,B,0,40,11,0,0
JT000783,B,1,34,16,0,0
JT000784,B,0,50,12,0,0
JT000785,B,1,45,16,1,2491
JT000786,B,0,22,14,0,0
JT000787,B,0,28,10,1,1169
JT000788,B,1,37,12,0,0
JT000789,B,0,27,16,0,0
JT000790,B,1,19,14,1,1841
JT000791,B,1,50,17,1,2551
JT000792,B,0,42,16,1,1959
JT000793,B,0,30,17,1,1950
JT000794,B,0,55,12,0,0
JT000795,B,0,38,14,0,0
JT000796,B,1,27,13,0,0
JT000797,B,0,54,17,0,0
JT000798,B,1,36,13,1,2475
