applicant_id,site,female,age,education_years,employed_baseline,earnings_baseline,offered_training,employed_6m,earnings_6m,session_date,session_number,session_type,training_center,hours_attended,program_participant
JB000172,A,0,39,11,1,1914,0,1,1821,,,,,,0
JB000173,A,0,51,15,0,0,1,1,3253,2026-03-11,1,Orientation,North Center,4,1
JB000174,A,0,29,15,1,2100,0,0,0,,,,,,0
JB000175,A,0,53,12,1,2500,0,1,2834,,,,,,0
JB000176,A,0,22,11,0,0,1,1,1680,2026-03-18,1,Orientation,North Center,4,1
JB000177,A,1,51,18,0,0,0,1,3312,,,,,,0
JB000178,A,1,55,10,0,0,0,1,2216,,,,,,0
JB000179,A,1,24,17,0,0,1,1,2273,,,,,,0
JB000180,A,0,54,10,0,0,0,1,2834,,,,,,0
JB000181,A,1,26,14,0,0,1,1,2278,2026-03-21,1,Orientation,North Center,4,1
JB000182,A,0,53,14,0,0,1,1,2532,2026-03-10,1,Orientation,North Center,4,1
JB000183,A,1,35,12,0,0,1,1,2911,2026-03-16,1,Orientation,North Center,4,1
JB000184,A,0,52,14,0,0,1,1,2582,2026-03-07,1,Orientation,North Center,4,1
JB000185,A,1,26,13,1,1903,1,0,0,2026-03-10,1,Orientation,North Center,4,1
JB000185,A,1,26,13,1,1903,1,0,0,2026-04-05,2,Skills workshop,North Center,6,1
JB000186,A,0,44,10,1,1460,0,1,2587,,,,,,0
JB000187,A,0,44,14,1,1811,0,1,2062,,,,,,0
JB000188,A,0,53,11,1,1784,1,0,0,2026-03-21,1,Orientation,North Center,4,1
JB000189,A,0,39,11,0,0,0,0,0,,,,,,0
JB000190,A,0,42,16,0,0,0,0,0,,,,,,0
JB000191,A,1,34,13,0,0,1,0,0,,,,,,0
JB000192,A,0,48,14,0,0,0,1,2146,,,,,,0
JB000193,A,1,39,17,1,2681,1,1,3441,2026-03-12,1,Orientation,North Center,4,1
JB000194,A,1,35,16,1,2345,1,1,3198,2026-03-12,1,Orientation,North Center,4,1
JB000195,A,0,54,12,1,1715,0,1,2217,,,,,,0
JB000196,A,1,47,18,1,2939,0,1,3806,,,,,,0
JB000197,A,1,47,17,1,2980,0,0,0,,,,,,0
JB000198,A,1,46,14,1,1811,1,0,0,2026-03-16,1,Orientation,North Center,4,1
JB000199,A,1,50,13,0,0,0,0,0,,,,,,0
JB000200,A,1,55,12,0,0,0,1,2751,,,,,,0
JB000201,A,0,47,11,0,0,1,0,0,2026-03-10,1,Orientation,North Center,4,1
JB000202,A,1,36,18,0,0,0,1,2584,,,,,,0
JB000203,A,1,21,11,1,1507,1,0,0,2026-03-03,1,Orientation,North Center,4,1
JB000203,A,1,21,11,1,1507,1,0,0,2026-04-23,2,Skills workshop,North Center,6,1
JB000203,A,1,21,11,1,1507,1,0,0,2026-05-21,3,Job placement,North Center,6,1
JB000204,A,0,48,17,1,2381,1,1,3239,2026-03-08,1,Orientation,North Center,4,1
JB000205,A,1,24,10,1,1028,1,0,0,,,,,,0
JB000206,A,0,47,10,1,1445,1,1,2626,2026-03-18,1,Orientation,North Center,4,1
JB000206,A,0,47,10,1,1445,1,1,2626,2026-04-05,2,Skills workshop,North Center,6,1
JB000207,A,1,49,18,0,0,0,0,0,,,,,,0
JB000208,A,0,21,16,1,2353,0,1,2373,,,,,,0
JB000209,A,0,20,17,1,1873,1,0,0,2026-03-06,1,Orientation,North Center,4,1
JB000209,A,0,20,17,1,1873,1,0,0,2026-04-03,2,Skills workshop,North Center,6,1
JB000209,A,0,20,17,1,1873,1,0,0,2026-05-24,3,Job placement,North Center,6,1
JB000210,A,1,20,18,1,2490,0,1,2121,,,,,,0
JB000211,A,1,32,12,1,1744,0,1,1559,,,,,,0
JB000212,A,1,43,17,0,0,0,0,0,,,,,,0
JB000213,A,0,46,18,1,2657,1,1,3048,2026-03-22,1,Orientation,North Center,4,1
JB000214,A,1,53,17,1,2662,0,1,2851,,,,,,0
JB000215,A,1,50,17,1,2879,0,0,0,2026-03-03,1,Orientation,North Center,4,1
JB000216,A,1,23,12,1,1425,0,0,0,,,,,,0
JB000217,A,0,53,13,1,1801,0,1,2882,,,,,,0
JB000218,A,1,24,18,0,0,0,1,2711,,,,,,0
JB000219,A,0,38,14,1,2155,1,1,3308,2026-03-07,1,Orientation,North Center,4,1
JB000219,A,0,38,14,1,2155,1,1,3308,2026-04-14,2,Skills workshop,North Center,6,1
JB000220,A,1,22,10,0,0,1,0,0,2026-03-13,1,Orientation,North Center,4,1
JB000221,A,1,29,13,1,2149,0,0,0,,,,,,0
JB000222,A,1,19,18,1,2324,0,0,0,,,,,,0
JB000223,A,0,30,15,0,0,1,1,2087,,,,,,0
JB000224,A,0,32,10,0,0,1,1,2442,2026-03-03,1,Orientation,North Center,4,1
JB000225,A,0,30,17,1,1900,1,0,0,,,,,,0
JB000226,A,0,20,10,0,0,1,1,2277,2026-03-21,1,Orientation,North Center,4,1
JB000227,A,1,45,15,0,0,0,1,3013,,,,,,0
JB000228,A,1,32,10,0,0,0,1,1721,,,,,,0
JB000229,A,1,38,16,1,2464,1,0,0,2026-03-08,1,Orientation,North Center,4,1
JB000230,A,1,26,10,1,1517,0,1,1475,,,,,,0
JB000231,A,1,42,13,1,1928,1,1,2479,2026-03-25,1,Orientation,North Center,4,1
JB000231,A,1,42,13,1,1928,1,1,2479,2026-04-18,2,Skills workshop,North Center,6,1
JB000232,A,1,21,9,0,0,1,1,1793,2026-03-04,1,Orientation,North Center,4,1
JB000233,A,1,21,14,1,2244,1,1,2270,2026-03-07,1,Orientation,North Center,4,1
JB000234,A,0,25,15,1,1807,1,0,0,2026-03-15,1,Orientation,North Center,4,1
JB000235,A,0,51,15,0,0,1,1,2873,2026-03-04,1,Orientation,North Center,4,1
JB000235,A,0,51,15,0,0,1,1,2873,2026-04-21,2,Skills workshop,North Center,6,1
JB000235,A,0,51,15,0,0,1,1,2873,2026-05-23,3,Job placement,North Center,6,1
JB000236,A,1,32,10,0,0,0,1,1724,,,,,,0
JB000237,A,0,19,14,1,1695,1,1,1801,2026-03-23,1,Orientation,North Center,4,1
JB000237,A,0,19,14,1,1695,1,1,1801,2026-04-23,2,Skills workshop,North Center,6,1
JB000238,A,0,19,16,0,0,1,1,3183,2026-03-22,1,Orientation,North Center,4,1
JB000239,A,1,49,16,0,0,1,0,0,2026-03-13,1,Orientation,North Center,4,1
JB000240,A,0,23,9,0,0,1,0,0,2026-03-21,1,Orientation,North Center,4,1
JB000240,A,0,23,9,0,0,1,0,0,2026-04-06,2,Skills workshop,North Center,6,1
JB000241,A,1,28,16,0,0,1,1,2460,2026-03-15,1,Orientation,North Center,4,1
JB000242,A,0,25,12,0,0,1,1,1829,2026-03-10,1,Orientation,North Center,4,1
JB000243,A,1,52,15,1,2030,1,1,3440,2026-03-07,1,Orientation,North Center,4,1
JB000243,A,1,52,15,1,2030,1,1,3440,2026-04-24,2,Skills workshop,North Center,6,1
JB000243,A,1,52,15,1,2030,1,1,3440,2026-05-24,3,Job placement,North Center,6,1
JB000244,A,1,41,9,0,0,0,1,2372,,,,,,0
JB000245,A,1,47,13,0,0,1,0,0,2026-03-06,1,Orientation,North Center,4,1
JB000246,A,0,20,15,1,1788,1,1,2856,2026-03-08,1,Orientation,North Center,4,1
JB000247,A,1,49,9,1,2039,0,1,2232,,,,,,0
JB000248,A,1,45,14,1,2356,0,1,3254,,,,,,0
JB000249,A,1,35,16,0,0,1,0,0,2026-03-11,1,Orientation,North Center,4,1
JB000250,A,0,47,17,0,0,0,1,2966,,,,,,0
JB000251,A,1,19,11,1,1870,1,1,1394,2026-03-13,1,Orientation,North Center,4,1
JB000251,A,1,19,11,1,1870,1,1,1394,2026-04-20,2,Skills workshop,North Center,6,1
JB000251,A,1,19,11,1,1870,1,1,1394,2026-05-13,3,Job placement,North Center,6,1
JB000252,A,0,48,17,1,2708,0,1,3399,,,,,,0
JB000253,A,1,30,16,1,1860,0,1,2337,,,,,,0
JB000254,A,0,33,13,0,0,1,0,0,,,,,,0
JB000255,A,0,26,14,0,0,1,1,2954,2026-03-10,1,Orientation,North Center,4,1
JB000256,A,0,36,13,1,2075,1,1,2084,2026-03-09,1,Orientation,North Center,4,1
JB000257,A,0,19,11,0,0,0,1,1965,,,,,,0
JB000258,A,1,50,16,1,2229,0,0,0,,,,,,0
JB000259,A,0,47,9,0,0,1,1,2157,2026-03-10,1,Orientation,North Center,4,1
JB000260,A,1,50,11,0,0,0,1,2720,,,,,,0
JB000261,A,0,33,18,1,2238,1,1,3119,2026-03-06,1,Orientation,North Center,4,1
JB000262,A,1,27,10,0,0,1,1,1984,2026-03-24,1,Orientation,North Center,4,1
JB000263,A,1,22,10,1,1505,0,0,0,,,,,,0
JB000264,A,1,42,13,1,2475,0,1,2922,,,,,,0
JB000265,A,1,51,11,1,2147,0,0,0,,,,,,0
JB000266,A,1,20,14,0,0,0,1,1748,,,,,,0
JB000267,A,1,43,9,0,0,1,0,0,2026-03-03,1,Orientation,North Center,4,1
JB000268,A,1,21,10,0,0,1,1,1319,2026-03-13,1,Orientation,North Center,4,1
JB000269,A,0,22,11,1,1429,1,0,0,2026-03-03,1,Orientation,North Center,4,1
JB000270,A,1,22,13,1,1715,1,0,0,2026-03-14,1,Orientation,North Center,4,1
JB000271,A,1,45,11,1,1943,0,1,1762,,,,,,0
JB000272,A,0,43,12,0,0,1,1,2426,2026-03-12,1,Orientation,North Center,4,1
JB000273,A,1,28,10,0,0,0,1,2280,,,,,,0
JB000274,A,1,49,10,1,2104,0,1,1937,,,,,,0
JB000275,A,0,43,10,1,1651,0,1,1897,,,,,,0
JB000276,A,0,47,13,1,1840,0,1,2365,,,,,,0
JB000277,A,1,54,10,0,0,0,0,0,,,,,,0
JB000278,A,1,37,12,0,0,1,1,2425,2026-03-19,1,Orientation,North Center,4,1
JB000278,A,1,37,12,0,0,1,1,2425,2026-04-10,2,Skills workshop,North Center,6,1
JB000279,A,0,21,17,0,0,1,1,2372,2026-03-12,1,Orientation,North Center,4,1
JB000280,A,1,20,14,1,1828,0,0,0,,,,,,0
JB000281,A,0,20,9,0,0,1,0,0,2026-03-06,1,Orientation,North Center,4,1
JB000281,A,0,20,9,0,0,1,0,0,2026-04-11,2,Skills workshop,North Center,6,1
JB000281,A,0,20,9,0,0,1,0,0,2026-05-18,3,Job placement,North Center,6,1
JB000282,A,1,51,15,0,0,1,1,2913,2026-03-15,1,Orientation,North Center,4,1
JB000282,A,1,51,15,0,0,1,1,2913,2026-04-07,2,Skills workshop,North Center,6,1
JB000283,A,1,41,15,0,0,1,1,3303,2026-03-10,1,Orientation,North Center,4,1
JB000284,A,1,50,17,0,0,1,1,2820,2026-03-19,1,Orientation,North Center,4,1
JB000285,A,0,32,16,1,2367,1,1,2973,2026-03-24,1,Orientation,North Center,4,1
JB000285,A,0,32,16,1,2367,1,1,2973,2026-04-06,2,Skills workshop,North Center,6,1
JB000286,A,0,47,10,0,0,1,1,2762,2026-03-10,1,Orientation,North Center,4,1
JB000287,A,0,50,12,0,0,1,0,0,2026-03-17,1,Orientation,North Center,4,1
JB000288,A,0,47,11,0,0,1,0,0,2026-03-17,1,Orientation,North Center,4,1
JB000289,A,0,20,16,0,0,0,0,0,,,,,,0
JB000290,A,0,51,14,1,2339,0,1,2365,,,,,,0
JB000291,A,0,55,12,0,0,1,1,3030,2026-03-07,1,Orientation,North Center,4,1
JB000292,A,1,33,11,0,0,1,0,0,2026-03-08,1,Orientation,North Center,4,1
JB000292,A,1,33,11,0,0,1,0,0,2026-04-09,2,Skills workshop,North Center,6,1
JB000292,A,1,33,11,0,0,1,0,0,2026-05-09,3,Job placement,North Center,6,1
JB000293,A,1,24,16,0,0,1,1,2512,2026-03-07,1,Orientation,North Center,4,1
