applicant_id,employed_6m,earnings_6m
JB000309,1,2688
JB000310,1,2892
JB000311,1,1847
JB000312,1,1937
JB000313,1,2895
JB000314,0,0
JB000315,1,3058
JB000316,1,3066
JB000317,0,0
JB000318,1,2212
JB000319,1,3513
JB000320,0,0
JB000321,1,2626
JB000322,0,0
JB000323,0,0
JB000324,1,1986
JB000325,0,0
JB000326,0,0
JB000327,1,2486
JB000328,1,2772
JB000329,0,0
JB000330,1,2721
JB000331,1,3647
JB000332,0,0
JB000333,1,1554
JB000334,0,0
JB000335,1,3054
JB000336,1,3088
JB000337,1,3193
JB000338,1,2113
JB000339,1,2835
JB000340,0,0
JB000341,1,2089
JB000342,1,1750
JB000343,0,0
JB000344,0,0
JB000345,1,3199
JB000346,1,2050
JB000347,1,2989
JB000348,1,2212
JB000349,1,1985
JB000350,1,2042
JB000351,1,2099
JB000352,0,0
JB000353,1,3467
JB000354,0,0
JB000355,1,2240
JB000356,1,1589
JB000357,0,0
JB000358,1,2542
JB000359,1,3066
JB000360,1,1393
JB000361,1,1828
JB000362,1,2853
JB000363,0,0
JB000364,1,3017
JB000365,1,2388
JB000366,0,0
JB000367,1,1463
JB000368,1,2515
JB000369,1,2751
JB000370,0,0
JB000371,0,0
JB000372,0,0
JB000373,1,2746
JB000374,0,0
JB000375,1,2997
JB000376,1,2903
JB000377,0,0
JB000378,0,0
JB000379,1,1630
JB000380,1,2032
JB000381,1,1616
JB000382,0,0
JB000383,1,2011
JB000384,0,0
JB000385,1,2653
JB000386,1,1971
JB000387,1,2543
JB000388,0,0
JB000389,1,3264
JB000390,0,0
JB000391,0,0
JB000392,0,0
JB000393,1,3628
JB000394,0,0
JB000395,0,0
JB000396,1,2608
JB000397,0,0
JB000398,1,3245
JB000399,1,1450
JB000400,0,0
JB000401,1,3203
JB000402,0,0
JB000403,1,2554
JB000404,0,0
JB000405,0,0
JB000406,1,2370
JB000407,0,0
JB000408,1,2545
JB000409,0,0
JB000410,1,2711
JB000411,0,0
JB000412,0,0
JB000413,0,0
JB000414,0,0
JB000415,1,2142
JB000416,0,0
JB000417,1,2356
JB000418,0,0
JB000419,1,2632
JB000420,1,2098
JB000421,1,2254
JB000422,0,0
JB000423,1,2676
JB000424,1,1992
JB000425,1,3801
JB000426,1,2442
JB000427,1,2548
JB000428,1,2368
JB000429,1,1771
JB000430,1,2582
JB000431,1,1992
JB000432,1,2214
JB000433,1,1450
JB000434,0,0
JB000435,0,0
JB000436,1,2808
JB000437,1,1362
JB000438,0,0
JB000439,0,0
JB000440,1,3365
JB000441,0,0
JB000442,0,0
JB000443,0,0
JB000444,0,0
JB000445,1,2581
JB000446,1,2452
JB000447,0,0
JB000448,1,2531
JB000449,1,3075
JB000450,0,0
JB000451,1,2912
JB000452,1,2810
JB000453,1,3175
JB000454,1,1914
JB000455,1,1343
JB000456,1,2974
JB000457,1,2948
JB000458,1,2960
JB000459,1,2018
JB000460,1,2562
JB000461,0,0
JB000462,1,2993
JB000463,1,2303
JB000464,1,2841
JB000465,1,3360
JB000466,1,2722
JB000467,0,0
JB000468,1,2485
JB000469,1,3514
JB000470,1,3299
JB000471,0,0
JB000472,1,3312
JB000473,1,3224
JB000474,1,2942
JB000475,1,2507
JB000476,1,2517
JB000477,0,0
JB000478,0,0
JB000479,1,3672
JB000480,1,3390
JB000481,1,3350
JB000482,1,3597
JB000483,1,1992
JB000484,0,0
JB000485,1,3375
JB000486,1,2760
JB000487,0,0
JB000488,1,2841
JB000489,0,0
JB000490,1,3974
JB000491,1,2247
JB000492,1,3269
JB000493,1,3028
JB000494,0,0
JB000495,0,0
JB000496,1,2784
JB000497,0,0
JB000498,1,3243
JB000499,0,0
JB000500,1,1467
JB000501,1,1867
JB000502,1,2422
JB000503,0,0
JB000504,0,0
JB000505,1,2458
JB000506,0,0
JB000507,1,2999
JB000508,1,2708
JB000509,0,0
JB000510,0,0
JB000511,1,3352
JB000512,1,2559
JB000513,0,0
JB000514,1,2647
JB000515,1,2186
JB000516,1,1727
JB000517,0,0
JB000518,0,0
JB000519,0,0
JB000520,0,0
JB000521,1,3594
JB000522,1,1342
JB000523,1,3446
JB000524,1,2117
JB000525,1,3030
JB000526,0,0
JB000527,0,0
JB000528,1,1493
JB000529,1,2005
JB000530,1,2208
JB000531,0,0
JB000532,0,0
JB000533,1,2972
JB000534,0,0
JB000535,1,1714
JB000536,1,1798
JB000537,1,2049
JB000538,1,2956
JB000539,1,2626
JB000540,1,3248
JB000541,0,0
JB000542,1,2396
JB000543,1,2079
JB000544,0,0
JB000545,0,0
JB000546,0,0
JB000547,1,2641
JB000548,1,3744
JB000549,0,0
JB000550,1,2204
JB000551,1,2591
JB000552,1,2181
JB000553,0,0
JB000554,1,2456
JB000555,1,1242
JB000556,1,3008
JB000557,0,0
JB000558,0,0
JB000559,1,1762
JB000560,1,2275
JB000561,1,3278
JB000562,0,0
JB000563,1,2634
JB000564,0,0
JB000565,1,2367
JB000566,1,2679
JB000567,1,2322
JB000568,1,3306
JB000569,1,2410
JB000570,1,2293
JB000571,1,1943
JB000572,1,2800
JB000573,1,2980
JB000574,1,2940
JB000575,0,0
JB000576,0,0
JB000577,1,2867
JB000578,1,2471
JB000579,0,0
JB000580,0,0
JB000581,1,2601
JB000582,1,2756
JB000583,1,1416
JB000584,1,1586
JB000585,1,1917
JB000586,1,2138
JB000587,0,0
JB000588,1,2943
JB000589,0,0
JB000590,0,0
JB000591,1,1963
JB000592,1,2960
JB000593,0,0
JB000594,0,0
JB000595,1,1852
JB000596,0,0
JB000597,0,0
JB000598,1,2129
JB000599,1,3351
JB000600,0,0
JB000601,0,0
JB000602,0,0
JB000603,1,2755
JB000604,1,2815
JB000605,0,0
JB000606,0,0
JB000607,1,1944
JB000608,1,3153
JB000609,1,3363
JB000610,1,2789
JB000611,1,3289
JB000612,1,2776
JB000613,0,0
JB000614,0,0
JB000615,0,0
JB000616,1,1388
JB000617,0,0
JB000618,0,0
JB000619,1,3154
JB000620,1,1607
JB000621,0,0
JB000622,0,0
JB000623,1,3221
JB000624,1,3266
JB000625,1,2964
JB000626,0,0
JB000627,0,0
JB000628,1,2527
JB000629,0,0
JB000630,1,2875
JB000631,0,0
JB000632,1,2440
JB000633,1,2541
JB000634,1,2252
JB000635,1,3127
JB000636,0,0
JB000637,0,0
JB000638,1,2051
JB000639,1,2735
JB000640,1,2911
JB000641,1,2220
JB000642,1,3133
JB000643,1,2704
JB000644,1,1825
JB000645,0,0
JB000646,0,0
JB000647,0,0
JB000648,1,2889
JB000649,0,0
JB000650,1,2280
JB000651,0,0
JB000652,1,1820
JB000653,0,0
JB000654,0,0
JB000655,1,1821
JB000656,1,2373
JB000657,1,2898
JB000658,0,0
JB000659,1,2149
JB000660,0,0
JB000661,0,0
JB000662,1,2694
JB000663,1,2363
JB000664,1,2762
JB000665,1,3025
JB000666,1,3128
JB000667,0,0
JB000668,1,2371
JB000669,0,0
JB000670,0,0
JB000671,0,0
JB000672,1,2009
JB000673,1,1980
JB000674,1,3381
JB000675,0,0
JB000676,1,2929
JB000677,1,2946
JB000678,1,3113
JB000679,0,0
JB000680,1,3317
JB000681,1,2614
JB000682,0,0
JB000683,1,1996
JB000684,1,2947
JB000685,1,1956
JB000686,0,0
JB000687,1,2456
JB000688,1,1975
JB000689,1,1866
JB000690,0,0
JB000691,1,2686
JB000692,1,3415
JB000693,1,3106
JB000694,0,0
JB000695,1,2760
JB000696,1,2469
JB000697,0,0
JB000698,1,2650
JB000699,1,2780
JB000700,1,3424
JB000701,1,1932
JB000702,1,2409
JB000703,1,2490
JB000704,1,3234
JB000705,0,0
JB000706,1,2225
JB000707,0,0
JB000708,1,2233
JB000709,0,0
JB000710,1,2028
JB000711,1,2682
JB000712,1,2867
JB000713,0,0
JB000714,1,2998
JB000715,1,1969
JB000716,1,2247
JB000717,0,0
JB000718,1,3154
JB000719,1,1863
JB000720,0,0
JB000721,0,0
JB000722,1,2496
JB000723,1,2816
JB000724,1,2139
JB000725,0,0
JB000726,0,0
JB000727,1,2612
JB000728,1,3471
JB000729,1,1582
JB000730,1,2896
JB000731,1,1825
JB000732,1,2379
JB000733,1,1758
JB000734,1,2644
JB000735,0,0
JB000736,1,2249
JB000737,1,2670
JB000738,1,3521
JB000739,1,1734
JB000740,1,3611
JB000741,1,2423
JB000742,1,2851
JB000743,1,2909
JB000744,1,3193
JB000745,0,0
JB000746,1,2976
JB000747,0,0
JB000748,1,2462
JB000749,1,3042
JB000750,0,0
JB000751,1,3771
JB000752,0,0
JB000753,1,2989
JB000754,1,2549
JB000755,0,0
JB000756,1,2230
JB000757,0,0
JB000758,1,1855
JB000759,1,2978
JB000760,1,3550
JB000761,1,2886
JB000762,0,0
JB000763,0,0
JB000764,1,2329
JB000765,0,0
JB000766,0,0
JB000767,1,2247
JB000768,1,2368
JB000769,1,2624
JB000770,0,0
JB000771,1,3142
JB000772,1,3511
JB000773,1,2666
JB000774,0,0
JB000775,1,2409
JB000776,1,2892
JB000777,1,2304
JB000778,0,0
JB000779,1,1783
JB000780,0,0
JB000781,0,0
JB000782,1,2654
JB000783,1,2864
JB000784,1,3750
JB000785,1,2592
JB000786,0,0
JB000787,0,0
JB000788,1,3159
JB000789,0,0
JB000790,0,0
JB000791,1,2748
JB000792,0,0
JB000793,1,2499
JB000794,1,3745
JB000795,1,2925
JB000796,0,0
JB000797,0,0
JB000798,0,0
JB000799,0,0
JB000800,1,3324
JB000801,1,1552
JB000802,1,2886
JB000803,1,2760
JB000804,1,2577
JB000805,1,3319
JB000806,0,0
JB000807,1,2045
JB000808,1,3235
JB000809,0,0
JB000810,1,2000
JB000811,0,0
JB000812,1,1630
JB000813,1,2275
JB000814,0,0
JB000815,0,0
JB000816,1,1471
JB000817,1,3067
JB000818,0,0
JB000819,1,2316
JB000820,1,2736
JB000821,1,2360
JB000822,1,1949
JB000823,0,0
JB000824,0,0
JB000825,1,2223
JB000826,1,2956
JB000827,1,2255
JB000828,1,3557
JB000829,1,2073
JB000830,0,0
JB000831,0,0
JB000832,1,2383
JB000833,1,3405
JB000834,0,0
JB000835,0,0
JB000836,1,2371
JB000837,1,3007
JB000838,1,3890
JB000839,0,0
JB000840,1,3439
JB000841,1,3132
JB000842,0,0
JB000843,1,2491
JB000844,0,0
JB000845,0,0
JB000846,0,0
JB000847,1,3685
JB000848,1,3687
JB000849,0,0
JB000850,0,0
JB000851,0,0
JB000852,0,0
JB000853,0,0
JB000854,1,1658
JB000855,1,2560
JB000856,1,3067
JB000857,0,0
JB000858,1,2085
JB000859,1,3209
JB000860,1,2473
JB000861,0,0
JB000862,0,0
JB000863,1,2893
JB000864,1,3264
JB000865,0,0
JB000866,1,2872
JB000867,1,1941
JB000868,1,2423
JB000869,1,2358
JB000870,1,2164
JB000871,0,0
JB000872,0,0
JB000873,1,2741
JB000874,1,2273
JB000875,1,3180
JB000876,1,3639
JB000877,1,2069
JB000878,1,3220
JB000879,1,2994
JB000880,0,0
JB000881,1,2757
JB000882,0,0
JB000883,0,0
JB000884,0,0
JB000885,1,2552
JB000886,1,1654
JB000887,0,0
JB000888,1,3416
JB000889,0,0
JB000890,0,0
JB000891,1,2011
JB000892,1,2565
JB000893,0,0
JB000894,1,2777
JB000895,0,0
JB000896,0,0
JB000897,1,3210
JB000898,1,3934
JB000899,0,0
JB000900,1,2977
JB000901,1,3410
JB000902,1,2164
JB000903,1,2068
JB000904,1,2934
JB000905,0,0
JB000906,1,2758
JB000907,0,0
JB000908,0,0
JB000909,0,0
JB000910,0,0
JB000911,1,2724
JB000912,1,2326
JB000913,1,2503
JB000914,1,3375
JB000915,1,2168
JB000916,0,0
JB000917,0,0
JB000918,0,0
JB000919,1,3207
JB000920,1,1754
JB000921,1,2678
JB000922,1,2872
JB000923,1,2539
JB000924,1,3025
JB000925,1,2406
JB000926,1,2912
JB000927,1,2498
JB000928,0,0
JB000929,1,2318
JB000930,1,3304
JB000931,0,0
JB000932,1,1983
JB000933,1,3731
JB000934,1,2004
JB000935,1,1660
JB000936,0,0
JB000937,1,2615
JB000938,0,0
JB000939,1,2841
JB000940,1,2507
JB000941,1,2673
JB000942,1,2334
JB000943,1,2702
JB000944,1,3295
JB000945,1,2008
JB000946,1,3096
JB000947,1,1763
JB000948,0,0
JB000949,1,1571
JB000950,0,0
JB000951,1,1692
JB000952,0,0
JB000953,0,0
JB000954,1,1705
JB000955,1,2046
JB000956,1,2404
JB000957,0,0
JB000958,0,0
JB000959,0,0
JB000960,1,3397
JB000961,0,0
JB000962,0,0
JB000963,1,2470
JB000964,1,1398
JB000965,1,2245
JB000966,1,2617
JB000967,1,3572
JB000968,1,3355
JB000969,1,2389
JB000970,1,2520
JB000971,1,2811
JB000972,1,2409
JB000973,0,0
JB000974,1,2713
JB000975,0,0
JB000976,0,0
JB000977,1,1652
JB000978,0,0
JB000979,1,3300
JB000980,0,0
JB000981,1,2530
JB000982,1,3119
JB000983,0,0
JB000984,0,0
JB000985,1,2723
JB000986,1,2539
JB000987,0,0
JB000988,1,2569
JB000989,1,1907
JB000990,1,2688
JB000991,1,2087
JB000992,1,3179
JB000993,1,2838
JB000994,1,2385
JB000995,1,2427
JB000996,1,3166
JB000997,1,2169
JB000998,1,3113
JB000999,1,2434
JB001000,1,3122
JB001001,0,0
JB001002,1,2051
JB001003,1,2855
JB001004,1,2080
JB001005,1,2530
JB001006,1,2726
JB001007,1,3165
JB001008,1,3178
JB001009,1,2601
JB001010,1,2561
JB001011,1,1960
JB001012,0,0
JB001013,1,3760
JB001014,1,2268
JB001015,1,2783
JB001016,0,0
JB001017,1,1877
JB001018,1,2120
JB001019,1,1906
JB001020,1,2561
JB001021,1,3098
JB001022,0,0
JB001023,0,0
JB001024,0,0
JB001025,1,2891
JB001026,0,0
JB001027,1,2126
JB001028,1,3343
JB001029,0,0
JB001030,0,0
JB001031,1,3041
JB001032,0,0
JB001033,0,0
JB001034,1,2755
JB001035,0,0
JB001036,1,1700
JB001037,1,3136
JB001038,1,3349
JB001039,1,2436
JB001040,0,0
JB001041,1,2894
JB001042,1,3692
JB001043,1,2221
JB001044,1,1702
JB001045,0,0
JB001046,1,3016
JB001047,1,3144
JB001048,0,0
JB001049,1,2701
JB001050,0,0
JB001051,0,0
JB001052,1,2120
JB001053,1,2424
JB001054,0,0
JB001055,1,2717
JB001056,0,0
JB001057,1,1983
JB001058,1,2012
JB001059,1,2989
JB001060,1,2074
JB001061,1,2663
JB001062,1,2052
JB001063,1,2530
JB001064,0,0
JB001065,0,0
JB001066,1,2255
JB001067,1,2225
JB001068,0,0
JB001069,0,0
JB001070,0,0
JB001071,1,2939
JB001072,1,2292
JB001073,1,2687
JB001074,0,0
JB001075,1,2669
JB001076,0,0
JB001077,1,2371
JB001078,0,0
JB001079,1,2137
JB001080,0,0
JB001081,0,0
JB001082,1,3712
JB001083,1,3848
JB001084,0,0
JB001085,1,2636
JB001086,1,2047
JB001087,1,2407
JB001088,1,2651
JB001089,0,0
JB001090,1,2836
JB001091,0,0
JB001092,1,2472
JB001093,0,0
JB001094,1,3239
JB001095,1,3013
JB001096,1,2992
JB001097,1,2282
JB001098,0,0
JB001099,0,0
JB001100,1,2447
JB001101,1,3169
JB001102,1,3233
JB001103,1,2722
JB001104,1,2820
JB001105,0,0
JB001106,0,0
JB001107,1,3233
JB001108,1,2761
JB001109,0,0
JB001110,1,3135
JB001111,1,3437
JB001112,1,1779
JB001113,1,1784
JB001114,1,2489
JB001115,0,0
JB001116,1,2405
JB001117,0,0
JB001118,1,3891
JB001119,1,2104
JB001120,1,2119
JB001121,1,2304
JB001122,1,1782
JB001123,1,1870
JB001124,1,2672
JB001125,1,2096
JB001126,0,0
JB001127,1,2175
JB001128,1,2244
JB001129,1,3254
JB001130,1,3230
JB001131,0,0
JB001132,0,0
JB001133,1,3282
JB001134,1,3348
JB001135,0,0
JB001136,0,0
JB001137,1,2549
JB001138,0,0
JB001139,0,0
JB001140,0,0
JB001141,1,3267
JB001142,1,1779
JB001143,1,2324
JB001144,1,3132
JB001145,1,3083
JB001146,0,0
JB001147,1,3154
JB001148,0,0
JB001149,0,0
JB001150,1,2552
JB001151,1,1620
JB001152,0,0
JB001153,0,0
JB001154,0,0
JB001155,1,2338
JB001156,0,0
JB001157,1,2795
JB001158,1,2426
JB001159,1,3041
JB001160,0,0
JB001161,0,0
JB001162,1,2526
JB001163,0,0
JB001164,0,0
JB001165,1,2050
JB001166,0,0
JB001167,0,0
JB001168,0,0
JB001169,1,2632
JB001170,1,2772
JB001171,1,3346
JB001172,1,2174
JB001173,0,0
JB001174,1,3522
JB001175,1,2882
JB001176,1,3429
JB001177,1,3468
JB001178,1,3423
JB001179,1,2858
JB001180,1,2587
JB001181,1,2433
JB001182,0,0
JB001183,1,2602
JB001184,0,0
JB001185,0,0
JB001186,0,0
JB001187,0,0
JB001188,1,2903
JB001189,1,1174
JB001190,1,3144
JB001191,1,1499
JB001192,0,0
JB001193,0,0
JB001194,1,3028
JB001195,1,2004
JB001196,1,3058
JB001197,0,0
JB001198,0,0
JB001199,0,0
JB001200,1,3792
JB001201,0,0
JB001202,1,2964
JB001203,1,2809
JB001204,1,3877
JB001205,0,0
JB001206,1,3599
JB001207,1,2155
JB001208,1,2495
JB001209,1,3395
JB001210,1,2058
JB001211,0,0
JB001212,1,1992
JB001213,0,0
JB001214,1,3150
JB001215,0,0
JB001216,1,3551
JB001217,1,2169
JB001218,0,0
JB001219,0,0
JB001220,1,2301
JB001221,1,2975
JB001222,1,2317
JB001223,1,2508
JB001224,1,2555
JB001225,1,2913
JB001226,0,0
JB001227,1,2519
JB001228,1,3048
JB001229,1,2881
JB001230,1,2062
JB001231,0,0
JB001232,0,0
JB001233,0,0
JB001234,1,2577
JB001235,0,0
JB001236,0,0
JB001237,0,0
JB001238,0,0
JB001239,1,1935
JB001240,1,3823
JB001241,1,3208
JB001242,1,2934
JB001243,0,0
JB001244,1,2942
JB001245,1,3389
JB001246,1,3288
JB001247,1,3370
JB001248,1,1889
JB001249,0,0
JB001250,0,0
JB001251,1,2709
JB001252,0,0
JB001253,1,2348
JB001254,1,2302
JB001255,1,2011
JB001256,1,2088
JB001257,0,0
JB001258,0,0
JB001259,1,2804
JB001260,1,2601
JB001261,0,0
JB001262,1,3020
JB001263,1,2173
JB001264,1,2258
JB001265,1,2861
JB001266,0,0
JB001267,0,0
JB001268,1,1937
JB001269,1,2188
JB001270,1,2671
JB001271,0,0
JB001272,1,2703
JB001273,1,1488
JB001274,1,2509
JB001275,1,2493
JB001276,1,2689
JB001277,1,2959
JB001278,0,0
JB001279,0,0
JB001280,0,0
JB001281,1,2524
JB001282,1,3277
JB001283,0,0
JB001284,1,2797
JB001285,1,3547
JB001286,1,3479
JB001287,0,0
JB001288,1,2478
JB001289,0,0
JB001290,0,0
JB001291,1,2338
JB001292,1,3572
JB001293,1,2997
JB001294,0,0
JB001295,1,3037
JB001296,1,2787
JB001297,1,3484
JB001298,0,0
JB001299,1,3150
JB001300,1,3043
JB001301,1,3642
JB001302,0,0
JB001303,1,2516
JB001304,1,2561
JB001305,0,0
JB001306,1,3400
JB001307,0,0
JB001308,1,2627
JB001309,1,1629
JB001310,1,3169
JB001311,0,0
JB001312,0,0
JB001313,1,3472
JB001314,1,3076
JB001315,0,0
JB001316,0,0
JB001317,1,2274
JB001318,0,0
JB001319,0,0
JB001320,1,2918
JB001321,1,2695
JB001322,1,3330
JB001323,1,2245
JB001324,1,3258
JB001325,0,0
JB001326,0,0
JB001327,1,3292
JB001328,0,0
JB001329,0,0
JB001330,1,2368
JB001331,0,0
JB001332,1,1791
JB001333,0,0
JB001334,1,2185
JB001335,1,2893
JB001336,1,2164
JB001337,1,2805
JB001338,1,2739
JB001339,0,0
JB001340,1,2744
JB001341,1,2207
JB001342,1,3184
JB001343,1,2167
JB001344,1,1826
JB001345,0,0
JB001346,0,0
JB001347,0,0
JB001348,1,3479
JB001349,0,0
JB001350,0,0
JB001351,1,2158
JB001352,1,3172
JB001353,0,0
JB001354,1,1705
JB001355,1,2846
JB001356,1,3568
JB001357,0,0
JB001358,1,4181
JB001359,1,2333
JB001360,1,2387
JB001361,1,2288
JB001362,1,2341
JB001363,1,2976
JB001364,0,0
JB001365,1,2190
JB001366,0,0
JB001367,1,2759
JB001368,1,2744
JB001369,1,2904
JB001370,1,3513
JB001371,0,0
JB001372,1,2637
JB001373,1,2722
JB001374,1,2414
JB001375,1,3484
JB001376,1,3221
JB001377,0,0
JB001378,0,0
JB001379,1,1846
JB001380,1,2990
JB001381,1,2556
JB001382,0,0
JB001383,1,3419
JB001384,1,3337
JB001385,1,1622
JB001386,0,0
JB001387,1,3053
JB001388,1,2919
JB001389,1,3349
JB001390,1,1839
JB001391,1,2820
JB001392,0,0
JB001393,1,2577
JB001394,0,0
JB001395,1,2644
JB001396,1,3472
JB001397,1,3327
JB001398,1,2450
JB001399,0,0
JB001400,1,3207
JB001401,0,0
JB001402,0,0
JB001403,1,3386
JB001404,0,0
JB001405,1,3121
JB001406,0,0
JB001407,0,0
JB001408,0,0
JB001409,1,2144
JB001410,0,0
JB001411,1,3987
JB001412,1,2612
JB001413,0,0
JB001414,1,2511
JB001415,1,2428
JB001416,1,1832
JB001417,0,0
JB001418,1,2810
JB001419,1,3220
JB001420,1,3334
JB001421,0,0
JB001422,1,2126
JB001423,1,3208
JB001424,0,0
JB001425,1,2558
JB001426,0,0
JB001427,0,0
JB001428,1,2675
JB001429,0,0
JB001430,1,3037
JB001431,0,0
JB001432,0,0
JB001433,1,2279
JB001434,0,0
JB001435,1,1726
JB001436,1,2887
JB001437,0,0
JB001438,1,2666
JB001439,1,2891
JB001440,1,1598
JB001441,1,3243
JB001442,1,2998
JB001443,1,3527
JB001444,1,3030
JB001445,1,2919
JB001446,0,0
JB001447,0,0
