applicant_id,session_date,session_number,session_type,training_center,hours_attended
JB000219,2026-04-14,2,Skills workshop,North Center,6
JB000220,2026-03-13,1,Orientation,North Center,4
JB000224,2026-03-03,1,Orientation,North Center,4
JB000226,2026-03-21,1,Orientation,North Center,4
JB000229,2026-03-08,1,Orientation,North Center,4
JB000231,2026-03-25,1,Orientation,North Center,4
JB000231,2026-04-18,2,Skills workshop,North Center,6
JB000232,2026-03-04,1,Orientation,North Center,4
JB000233,2026-03-07,1,Orientation,North Center,4
JB000234,2026-03-15,1,Orientation,North Center,4
JB000235,2026-03-04,1,Orientation,North Center,4
JB000235,2026-04-21,2,Skills workshop,North Center,6
JB000235,2026-05-23,3,Job placement,North Center,6
JB000237,2026-03-23,1,Orientation,North Center,4
JB000237,2026-04-23,2,Skills workshop,North Center,6
JB000238,2026-03-22,1,Orientation,North Center,4
JB000239,2026-03-13,1,Orientation,North Center,4
JB000240,2026-03-21,1,Orientation,North Center,4
JB000240,2026-04-06,2,Skills workshop,North Center,6
JB000241,2026-03-15,1,Orientation,North Center,4
JB000242,2026-03-10,1,Orientation,North Center,4
JB000243,2026-03-07,1,Orientation,North Center,4
JB000243,2026-04-24,2,Skills workshop,North Center,6
JB000243,2026-05-24,3,Job placement,North Center,6
JB000245,2026-03-06,1,Orientation,North Center,4
JB000246,2026-03-08,1,Orientation,North Center,4
JB000249,2026-03-11,1,Orientation,North Center,4
JB000251,2026-03-13,1,Orientation,North Center,4
JB000251,2026-04-20,2,Skills workshop,North Center,6
JB000251,2026-05-13,3,Job placement,North Center,6
JB000255,2026-03-10,1,Orientation,North Center,4
JB000256,2026-03-09,1,Orientation,North Center,4
JB000259,2026-03-10,1,Orientation,North Center,4
JB000261,2026-03-06,1,Orientation,North Center,4
JB000262,2026-03-24,1,Orientation,North Center,4
JB000267,2026-03-03,1,Orientation,North Center,4
JB000268,2026-03-13,1,Orientation,North Center,4
JB000269,2026-03-03,1,Orientation,North Center,4
JB000270,2026-03-14,1,Orientation,North Center,4
JB000272,2026-03-12,1,Orientation,North Center,4
JB000278,2026-03-19,1,Orientation,North Center,4
JB000278,2026-04-10,2,Skills workshop,North Center,6
JB000279,2026-03-12,1,Orientation,North Center,4
JB000281,2026-03-06,1,Orientation,North Center,4
JB000281,2026-04-11,2,Skills workshop,North Center,6
JB000281,2026-05-18,3,Job placement,North Center,6
JB000282,2026-03-15,1,Orientation,North Center,4
JB000282,2026-04-07,2,Skills workshop,North Center,6
JB000283,2026-03-10,1,Orientation,North Center,4
JB000284,2026-03-19,1,Orientation,North Center,4
JB000285,2026-03-24,1,Orientation,North Center,4
JB000285,2026-04-06,2,Skills workshop,North Center,6
JB000286,2026-03-10,1,Orientation,North Center,4
JB000287,2026-03-17,1,Orientation,North Center,4
JB000288,2026-03-17,1,Orientation,North Center,4
JB000291,2026-03-07,1,Orientation,North Center,4
JB000292,2026-03-08,1,Orientation,North Center,4
JB000292,2026-04-09,2,Skills workshop,North Center,6
JB000292,2026-05-09,3,Job placement,North Center,6
JB000293,2026-03-07,1,Orientation,North Center,4
JB000295,2026-03-06,1,Orientation,North Center,4
JB000296,2026-03-10,1,Orientation,North Center,4
JB000297,2026-03-20,1,Orientation,North Center,4
JB000300,2026-03-20,1,Orientation,North Center,4
JB000303,2026-03-25,1,Orientation,North Center,4
JB000304,2026-03-05,1,Orientation,North Center,4
JB000311,2026-03-09,1,Orientation,North Center,4
JB000312,2026-03-07,1,Orientation,North Center,4
JB000312,2026-04-19,2,Skills workshop,North Center,6
JB000313,2026-03-19,1,Orientation,North Center,4
JB000314,2026-03-26,1,Orientation,North Center,4
JB000315,2026-03-10,1,Orientation,North Center,4
JB000317,2026-03-13,1,Orientation,North Center,4
JB000317,2026-04-23,2,Skills workshop,North Center,6
JB000321,2026-03-16,1,Orientation,North Center,4
JB000324,2026-03-15,1,Orientation,North Center,4
JB000326,2026-03-12,1,Orientation,North Center,4
JB000327,2026-03-20,1,Orientation,North Center,4
JB000328,2026-03-14,1,Orientation,North Center,4
JB000328,2026-04-14,2,Skills workshop,North Center,6
JB000329,2026-03-06,1,Orientation,North Center,4
JB000329,2026-04-20,2,Skills workshop,North Center,6
JB000331,2026-03-18,1,Orientation,North Center,4
JB000335,2026-03-04,1,Orientation,North Center,4
JB000335,2026-04-10,2,Skills workshop,North Center,6
JB000335,2026-05-09,3,Job placement,North Center,6
JB000344,2026-03-24,1,Orientation,North Center,4
JB000344,2026-04-07,2,Skills workshop,North Center,6
JB000348,2026-03-17,1,Orientation,North Center,4
JB000350,2026-03-18,1,Orientation,North Center,4
JB000353,2026-03-18,1,Orientation,North Center,4
JB000354,2026-03-15,1,Orientation,North Center,4
JB000359,2026-03-17,1,Orientation,North Center,4
JB000360,2026-03-14,1,Orientation,North Center,4
JB000360,2026-04-13,2,Skills workshop,North Center,6
JB000362,2026-03-14,1,Orientation,North Center,4
JB000362,2026-04-23,2,Skills workshop,North Center,6
JB000362,2026-05-25,3,Job placement,North Center,6
JB000363,2026-03-11,1,Orientation,North Center,4
JB000364,2026-03-11,1,Orientation,North Center,4
JB000368,2026-03-18,1,Orientation,North Center,4
JB000369,2026-03-04,1,Orientation,North Center,4
JB000371,2026-03-13,1,Orientation,North Center,4
JB000373,2026-03-23,1,Orientation,North Center,4
JB000375,2026-03-25,1,Orientation,North Center,4
JB000375,2026-04-21,2,Skills workshop,North Center,6
JB000375,2026-05-11,3,Job placement,North Center,6
JB000378,2026-03-03,1,Orientation,North Center,4
JB000378,2026-04-22,2,Skills workshop,North Center,6
JB000384,2026-03-18,1,Orientation,North Center,4
JB000385,2026-03-05,1,Orientation,North Center,4
JB000388,2026-03-07,1,Orientation,North Center,4
JB000389,2026-03-06,1,Orientation,North Center,4
JB000393,2026-03-16,1,Orientation,North Center,4
JB000395,2026-03-10,1,Orientation,North Center,4
JB000396,2026-03-03,1,Orientation,North Center,4
JB000398,2026-03-11,1,Orientation,North Center,4
JB000399,2026-03-14,1,Orientation,North Center,4
JB000399,2026-04-10,2,Skills workshop,North Center,6
JB000400,2026-03-24,1,Orientation,North Center,4
JB000401,2026-03-19,1,Orientation,North Center,4
JB000401,2026-04-05,2,Skills workshop,North Center,6
JB000401,2026-05-26,3,Job placement,North Center,6
JB000414,2026-03-16,1,Orientation,North Center,4
JB000416,2026-03-20,1,Orientation,North Center,4
JB000417,2026-03-22,1,Orientation,North Center,4
JB000418,2026-03-07,1,Orientation,North Center,4
JB000421,2026-03-06,1,Orientation,North Center,4
JB000431,2026-03-25,1,Orientation,North Center,4
JB000436,2026-03-05,1,Orientation,North Center,4
JB000439,2026-03-12,1,Orientation,North Center,4
JB000447,2026-03-13,1,Orientation,North Center,4
JB000448,2026-03-23,1,Orientation,North Center,4
JB000448,2026-04-06,2,Skills workshop,North Center,6
JB000453,2026-03-14,1,Orientation,North Center,4
JB000454,2026-03-10,1,Orientation,North Center,4
JB000456,2026-03-23,1,Orientation,North Center,4
JB000457,2026-03-18,1,Orientation,North Center,4
JB000458,2026-03-07,1,Orientation,North Center,4
JB000460,2026-03-03,1,Orientation,North Center,4
JB000461,2026-03-26,1,Orientation,North Center,4
JB000464,2026-03-05,1,Orientation,North Center,4
JB000465,2026-03-09,1,Orientation,North Center,4
JB000465,2026-04-19,2,Skills workshop,North Center,6
JB000469,2026-03-13,1,Orientation,North Center,4
JB000470,2026-03-08,1,Orientation,North Center,4
JB000471,2026-03-11,1,Orientation,North Center,4
JB000473,2026-03-15,1,Orientation,North Center,4
JB000473,2026-04-10,2,Skills workshop,North Center,6
JB000474,2026-03-06,1,Orientation,North Center,4
JB000478,2026-03-12,1,Orientation,North Center,4
JB000480,2026-03-03,1,Orientation,North Center,4
JB000482,2026-03-15,1,Orientation,North Center,4
JB000482,2026-04-06,2,Skills workshop,North Center,6
JB000483,2026-03-16,1,Orientation,North Center,4
JB000485,2026-03-03,1,Orientation,North Center,4
JB000486,2026-03-09,1,Orientation,North Center,4
JB000488,2026-03-14,1,Orientation,North Center,4
JB000489,2026-03-26,1,Orientation,North Center,4
JB000490,2026-03-17,1,Orientation,North Center,4
JB000490,2026-04-05,2,Skills workshop,North Center,6
JB000492,2026-03-18,1,Orientation,North Center,4
JB000498,2026-03-22,1,Orientation,North Center,4
JB000500,2026-03-22,1,Orientation,North Center,4
JB000501,2026-03-05,1,Orientation,North Center,4
JB000506,2026-03-08,1,Orientation,North Center,4
JB000508,2026-03-06,1,Orientation,North Center,4
JB000509,2026-03-12,1,Orientation,North Center,4
JB000509,2026-04-14,2,Skills workshop,North Center,6
JB000510,2026-03-04,1,Orientation,North Center,4
JB000510,2026-04-07,2,Skills workshop,North Center,6
JB000515,2026-03-23,1,Orientation,North Center,4
JB000516,2026-03-24,1,Orientation,North Center,4
JB000516,2026-04-12,2,Skills workshop,North Center,6
JB000517,2026-03-18,1,Orientation,North Center,4
JB000519,2026-03-25,1,Orientation,North Center,4
JB000521,2026-03-08,1,Orientation,North Center,4
JB000521,2026-04-06,2,Skills workshop,North Center,6
JB000522,2026-03-20,1,Orientation,North Center,4
JB000525,2026-03-09,1,Orientation,North Center,4
JB000529,2026-03-12,1,Orientation,North Center,4
JB000530,2026-03-05,1,Orientation,North Center,4
JB000532,2026-03-10,1,Orientation,North Center,4
JB000532,2026-04-04,2,Skills workshop,North Center,6
JB000533,2026-03-12,1,Orientation,North Center,4
JB000535,2026-03-13,1,Orientation,North Center,4
JB000536,2026-03-22,1,Orientation,North Center,4
JB000540,2026-03-17,1,Orientation,North Center,4
JB000540,2026-04-10,2,Skills workshop,North Center,6
JB000541,2026-03-26,1,Orientation,North Center,4
JB000543,2026-03-25,1,Orientation,North Center,4
JB000543,2026-04-26,2,Skills workshop,North Center,6
JB000543,2026-05-12,3,Job placement,North Center,6
JB000544,2026-03-03,1,Orientation,North Center,4
JB000545,2026-03-18,1,Orientation,North Center,4
JB000547,2026-03-13,1,Orientation,North Center,4
JB000548,2026-03-13,1,Orientation,North Center,4
JB000548,2026-04-19,2,Skills workshop,North Center,6
JB000550,2026-03-07,1,Orientation,North Center,4
JB000552,2026-03-18,1,Orientation,North Center,4
JB000554,2026-03-18,1,Orientation,North Center,4
JB000556,2026-03-05,1,Orientation,North Center,4
JB000559,2026-03-03,1,Orientation,North Center,4
JB000559,2026-04-04,2,Skills workshop,North Center,6
JB000559,2026-05-25,3,Job placement,North Center,6
JB000562,2026-03-18,1,Orientation,North Center,4
JB000562,2026-04-15,2,Skills workshop,North Center,6
JB000562,2026-05-06,3,Job placement,North Center,6
JB000566,2026-03-25,1,Orientation,North Center,4
JB000567,2026-03-15,1,Orientation,North Center,4
JB000572,2026-03-19,1,Orientation,North Center,4
JB000574,2026-03-06,1,Orientation,North Center,4
JB000575,2026-03-20,1,Orientation,North Center,4
JB000578,2026-03-19,1,Orientation,North Center,4
JB000583,2026-03-21,1,Orientation,North Center,4
JB000584,2026-03-07,1,Orientation,North Center,4
JB000584,2026-04-08,2,Skills workshop,North Center,6
JB000584,2026-05-09,3,Job placement,North Center,6
JB000586,2026-03-13,1,Orientation,North Center,4
JB000588,2026-03-12,1,Orientation,North Center,4
JB000590,2026-03-23,1,Orientation,North Center,4
JB000591,2026-03-11,1,Orientation,North Center,4
JB000595,2026-03-06,1,Orientation,North Center,4
JB000596,2026-03-22,1,Orientation,North Center,4
JB000596,2026-04-24,2,Skills workshop,North Center,6
JB000598,2026-03-03,1,Orientation,North Center,4
JB000598,2026-04-03,2,Skills workshop,North Center,6
JB000601,2026-03-17,1,Orientation,East Center,4
JB000604,2026-03-13,1,Orientation,East Center,4
JB000605,2026-03-06,1,Orientation,East Center,4
JB000608,2026-03-26,1,Orientation,East Center,4
JB000608,2026-04-16,2,Skills workshop,East Center,6
JB000609,2026-03-20,1,Orientation,East Center,4
JB000609,2026-04-21,2,Skills workshop,East Center,6
JB000611,2026-03-09,1,Orientation,East Center,4
JB000612,2026-03-05,1,Orientation,East Center,4
JB000612,2026-04-07,2,Skills workshop,East Center,6
JB000613,2026-03-18,1,Orientation,East Center,4
JB000615,2026-03-08,1,Orientation,East Center,4
JB000619,2026-03-26,1,Orientation,East Center,4
JB000620,2026-03-06,1,Orientation,East Center,4
JB000621,2026-03-04,1,Orientation,East Center,4
JB000621,2026-04-08,2,Skills workshop,East Center,6
JB000621,2026-05-26,3,Job placement,East Center,6
JB000622,2026-03-23,1,Orientation,East Center,4
JB000622,2026-04-14,2,Skills workshop,East Center,6
JB000622,2026-05-11,3,Job placement,East Center,6
JB000626,2026-03-18,1,Orientation,East Center,4
JB000629,2026-03-12,1,Orientation,East Center,4
JB000630,2026-03-03,1,Orientation,East Center,4
JB000636,2026-03-09,1,Orientation,East Center,4
JB000638,2026-03-08,1,Orientation,East Center,4
JB000638,2026-04-08,2,Skills workshop,East Center,6
JB000640,2026-03-10,1,Orientation,East Center,4
JB000640,2026-04-18,2,Skills workshop,East Center,6
JB000643,2026-03-18,1,Orientation,East Center,4
JB000648,2026-03-13,1,Orientation,East Center,4
JB000651,2026-03-22,1,Orientation,East Center,4
JB000653,2026-03-14,1,Orientation,East Center,4
JB000653,2026-04-22,2,Skills workshop,East Center,6
JB000656,2026-03-06,1,Orientation,East Center,4
JB000656,2026-04-04,2,Skills workshop,East Center,6
JB000658,2026-03-11,1,Orientation,East Center,4
JB000659,2026-03-25,1,Orientation,East Center,4
JB000660,2026-03-13,1,Orientation,East Center,4
JB000660,2026-04-13,2,Skills workshop,East Center,6
JB000661,2026-03-14,1,Orientation,East Center,4
JB000661,2026-04-06,2,Skills workshop,East Center,6
JB000661,2026-05-10,3,Job placement,East Center,6
JB000662,2026-03-06,1,Orientation,East Center,4
JB000662,2026-04-21,2,Skills workshop,East Center,6
JB000663,2026-03-09,1,Orientation,East Center,4
JB000663,2026-04-22,2,Skills workshop,East Center,6
JB000663,2026-05-07,3,Job placement,East Center,6
JB000664,2026-03-15,1,Orientation,East Center,4
JB000664,2026-04-11,2,Skills workshop,East Center,6
JB000665,2026-03-03,1,Orientation,East Center,4
JB000669,2026-03-24,1,Orientation,East Center,4
JB000670,2026-03-08,1,Orientation,East Center,4
JB000674,2026-03-13,1,Orientation,East Center,4
JB000674,2026-04-13,2,Skills workshop,East Center,6
JB000676,2026-03-09,1,Orientation,East Center,4
JB000677,2026-03-10,1,Orientation,East Center,4
JB000679,2026-03-14,1,Orientation,East Center,4
JB000680,2026-03-23,1,Orientation,East Center,4
JB000682,2026-03-15,1,Orientation,East Center,4
JB000682,2026-04-21,2,Skills workshop,East Center,6
JB000683,2026-03-25,1,Orientation,East Center,4
JB000687,2026-03-03,1,Orientation,East Center,4
JB000688,2026-03-17,1,Orientation,East Center,4
JB000688,2026-04-21,2,Skills workshop,East Center,6
JB000692,2026-03-20,1,Orientation,East Center,4
JB000695,2026-03-19,1,Orientation,East Center,4
JB000697,2026-03-05,1,Orientation,East Center,4
JB000698,2026-03-18,1,Orientation,East Center,4
JB000700,2026-03-09,1,Orientation,East Center,4
JB000704,2026-03-18,1,Orientation,East Center,4
JB000706,2026-03-08,1,Orientation,East Center,4
JB000709,2026-03-10,1,Orientation,East Center,4
JB000711,2026-03-24,1,Orientation,East Center,4
JB000714,2026-03-23,1,Orientation,East Center,4
JB000714,2026-04-12,2,Skills workshop,East Center,6
JB000716,2026-03-13,1,Orientation,East Center,4
JB000717,2026-03-26,1,Orientation,East Center,4
JB000717,2026-04-11,2,Skills workshop,East Center,6
JB000721,2026-03-06,1,Orientation,East Center,4
JB000723,2026-03-03,1,Orientation,East Center,4
JB000724,2026-03-18,1,Orientation,East Center,4
JB000729,2026-03-03,1,Orientation,East Center,4
JB000730,2026-03-03,1,Orientation,East Center,4
JB000731,2026-03-12,1,Orientation,East Center,4
JB000732,2026-03-18,1,Orientation,East Center,4
JB000738,2026-03-04,1,Orientation,East Center,4
JB000738,2026-04-15,2,Skills workshop,East Center,6
JB000742,2026-03-08,1,Orientation,East Center,4
JB000744,2026-03-20,1,Orientation,East Center,4
JB000744,2026-04-25,2,Skills workshop,East Center,6
JB000746,2026-03-18,1,Orientation,East Center,4
JB000746,2026-04-25,2,Skills workshop,East Center,6
JB000748,2026-03-25,1,Orientation,East Center,4
JB000750,2026-03-14,1,Orientation,East Center,4
JB000751,2026-03-21,1,Orientation,East Center,4
JB000754,2026-03-23,1,Orientation,East Center,4
JB000757,2026-03-12,1,Orientation,East Center,4
JB000760,2026-03-13,1,Orientation,East Center,4
JB000760,2026-04-14,2,Skills workshop,East Center,6
JB000761,2026-03-18,1,Orientation,East Center,4
JB000762,2026-03-14,1,Orientation,East Center,4
JB000764,2026-03-16,1,Orientation,East Center,4
JB000764,2026-04-12,2,Skills workshop,East Center,6
JB000766,2026-03-14,1,Orientation,East Center,4
JB000768,2026-03-07,1,Orientation,East Center,4
JB000769,2026-03-03,1,Orientation,East Center,4
JB000770,2026-03-10,1,Orientation,East Center,4
JB000770,2026-04-11,2,Skills workshop,East Center,6
JB000771,2026-03-12,1,Orientation,East Center,4
JB000772,2026-03-26,1,Orientation,East Center,4
JB000773,2026-03-11,1,Orientation,East Center,4
JB000774,2026-03-14,1,Orientation,East Center,4
JB000777,2026-03-21,1,Orientation,East Center,4
JB000780,2026-03-22,1,Orientation,East Center,4
JB000780,2026-04-12,2,Skills workshop,East Center,6
JB000782,2026-03-09,1,Orientation,East Center,4
JB000784,2026-03-03,1,Orientation,East Center,4
JB000787,2026-03-12,1,Orientation,East Center,4
JB000788,2026-03-12,1,Orientation,East Center,4
JB000789,2026-03-06,1,Orientation,East Center,4
JB000791,2026-03-10,1,Orientation,East Center,4
JB000794,2026-03-15,1,Orientation,East Center,4
JB000795,2026-03-13,1,Orientation,East Center,4
JB000798,2026-03-15,1,Orientation,East Center,4
JB000799,2026-03-22,1,Orientation,East Center,4
JB000799,2026-04-24,2,Skills workshop,East Center,6
JB000800,2026-03-15,1,Orientation,East Center,4
JB000802,2026-03-22,1,Orientation,East Center,4
JB000802,2026-04-11,2,Skills workshop,East Center,6
JB000804,2026-03-22,1,Orientation,East Center,4
JB000807,2026-03-13,1,Orientation,East Center,4
JB000807,2026-04-12,2,Skills workshop,East Center,6
JB000807,2026-05-07,3,Job placement,East Center,6
JB000808,2026-03-06,1,Orientation,East Center,4
JB000812,2026-03-13,1,Orientation,East Center,4
JB000813,2026-03-06,1,Orientation,East Center,4
JB000814,2026-03-25,1,Orientation,East Center,4
JB000817,2026-03-10,1,Orientation,East Center,4
JB000817,2026-04-15,2,Skills workshop,East Center,6
JB000817,2026-05-16,3,Job placement,East Center,6
JB000819,2026-03-16,1,Orientation,East Center,4
JB000822,2026-03-08,1,Orientation,East Center,4
JB000823,2026-03-08,1,Orientation,East Center,4
JB000823,2026-04-11,2,Skills workshop,East Center,6
JB000824,2026-03-12,1,Orientation,East Center,4
JB000824,2026-04-16,2,Skills workshop,East Center,6
JB000831,2026-03-21,1,Orientation,East Center,4
JB000833,2026-03-14,1,Orientation,East Center,4
JB000834,2026-03-16,1,Orientation,East Center,4
JB000835,2026-03-08,1,Orientation,East Center,4
JB000835,2026-04-11,2,Skills workshop,East Center,6
JB000838,2026-03-12,1,Orientation,East Center,4
JB000840,2026-03-26,1,Orientation,East Center,4
JB000842,2026-03-14,1,Orientation,East Center,4
JB000847,2026-03-06,1,Orientation,East Center,4
JB000848,2026-03-23,1,Orientation,East Center,4
JB000852,2026-03-20,1,Orientation,East Center,4
JB000855,2026-03-16,1,Orientation,East Center,4
JB000856,2026-03-09,1,Orientation,East Center,4
JB000864,2026-03-26,1,Orientation,East Center,4
JB000864,2026-04-07,2,Skills workshop,East Center,6
JB000864,2026-05-15,3,Job placement,East Center,6
JB000865,2026-03-09,1,Orientation,East Center,4
JB000869,2026-03-06,1,Orientation,East Center,4
JB000872,2026-03-09,1,Orientation,East Center,4
JB000873,2026-03-26,1,Orientation,East Center,4
JB000876,2026-03-23,1,Orientation,East Center,4
JB000878,2026-03-04,1,Orientation,East Center,4
JB000879,2026-03-13,1,Orientation,East Center,4
JB000881,2026-03-11,1,Orientation,East Center,4
JB000882,2026-03-12,1,Orientation,East Center,4
JB000883,2026-03-26,1,Orientation,East Center,4
JB000884,2026-03-05,1,Orientation,East Center,4
JB000884,2026-04-21,2,Skills workshop,East Center,6
JB000886,2026-03-09,1,Orientation,East Center,4
JB000887,2026-03-17,1,Orientation,East Center,4
JB000890,2026-03-24,1,Orientation,East Center,4
JB000891,2026-03-16,1,Orientation,East Center,4
JB000892,2026-03-21,1,Orientation,East Center,4
JB000892,2026-04-26,2,Skills workshop,East Center,6
JB000901,2026-03-09,1,Orientation,East Center,4
JB000902,2026-03-15,1,Orientation,East Center,4
JB000903,2026-03-11,1,Orientation,East Center,4
JB000904,2026-03-04,1,Orientation,East Center,4
JB000907,2026-03-23,1,Orientation,East Center,4
