state,treated,adopt_year,year,event_time,true_effect,teen_employment_rate,post_adoption
6,1,2007,2001,-6,0,55.615852,0
6,1,2007,2002,-5,0,56.266304,0
6,1,2007,2003,-4,0,55.783592,0
6,1,2007,2004,-3,0,55.978729,0
6,1,2007,2005,-2,0,56.495781,0
6,1,2007,2006,-1,0,56.836277,0
6,1,2007,2007,0,-.25,56.84486,1
6,1,2007,2008,1,-.5,56.851135,1
6,1,2007,2009,2,-.75,55.915028,1
6,1,2007,2010,3,-1,56.155457,1
6,1,2007,2011,4,-1,56.444138,1
6,1,2007,2012,5,-1,55.759548,1
6,1,2007,2013,6,-1,56.556728,1
6,1,2007,2014,7,-1,56.94516,1
6,1,2007,2015,8,-1,56.809669,1
6,1,2007,2016,9,-1,57.525341,1
6,1,2007,2017,10,-1,57.222855,1
6,1,2007,2018,11,-1,57.169266,1
6,1,2007,2019,12,-1,57.322872,1
7,1,2007,2000,-7,0,55.44175,0
7,1,2007,2001,-6,0,55.951546,0
7,1,2007,2002,-5,0,56.412724,0
7,1,2007,2003,-4,0,56.010345,0
7,1,2007,2004,-3,0,55.45919,0
7,1,2007,2005,-2,0,55.401611,0
7,1,2007,2006,-1,0,56.450199,0
7,1,2007,2007,0,-.25,56.308647,1
7,1,2007,2008,1,-.5,55.949951,1
7,1,2007,2009,2,-.75,55.808193,1
7,1,2007,2010,3,-1,55.516113,1
7,1,2007,2011,4,-1,56.455952,1
7,1,2007,2012,5,-1,55.634888,1
7,1,2007,2013,6,-1,56.82745,1
7,1,2007,2014,7,-1,56.11974,1
7,1,2007,2015,8,-1,57.572987,1
7,1,2007,2016,9,-1,58.24707,1
7,1,2007,2017,10,-1,57.543774,1
7,1,2007,2018,11,-1,57.974033,1
7,1,2007,2019,12,-1,57.335209,1
8,1,2007,2000,-7,0,53.5532,0
8,1,2007,2001,-6,0,52.485298,0
8,1,2007,2002,-5,0,53.556198,0
8,1,2007,2003,-4,0,53.364803,0
8,1,2007,2004,-3,0,54.44133,0
8,1,2007,2005,-2,0,53.995808,0
8,1,2007,2006,-1,0,54.916672,0
8,1,2007,2007,0,-.25,53.355141,1
8,1,2007,2008,1,-.5,54.300682,1
8,1,2007,2009,2,-.75,54.149616,1
8,1,2007,2010,3,-1,53.926514,1
8,1,2007,2011,4,-1,53.81424,1
8,1,2007,2012,5,-1,55.287338,1
8,1,2007,2013,6,-1,54.889973,1
8,1,2007,2014,7,-1,54.730202,1
8,1,2007,2015,8,-1,55.079121,1
8,1,2007,2016,9,-1,55.172588,1
8,1,2007,2017,10,-1,54.823677,1
8,1,2007,2018,11,-1,55.732506,1
8,1,2007,2019,12,-1,56.00922,1
9,1,2008,2000,-8,0,52.424549,0
9,1,2008,2001,-7,0,53.78405,0
9,1,2008,2002,-6,0,53.101162,0
9,1,2008,2003,-5,0,54.044384,0
9,1,2008,2004,-4,0,54.107258,0
9,1,2008,2005,-3,0,53.486958,0
9,1,2008,2006,-2,0,54.337337,0
9,1,2008,2007,-1,0,54.524136,0
9,1,2008,2008,0,-.25,53.896652,1
9,1,2008,2009,1,-.5,54.578308,1
9,1,2008,2010,2,-.75,53.392143,1
9,1,2008,2011,3,-1,54.194992,1
9,1,2008,2012,4,-1,52.686569,1
9,1,2008,2013,5,-1,54.335201,1
9,1,2008,2014,6,-1,55.297626,1
9,1,2008,2015,7,-1,54.738281,1
9,1,2008,2016,8,-1,54.698532,1
9,1,2008,2017,9,-1,55.241669,1
9,1,2008,2018,10,-1,54.605068,1
9,1,2008,2019,11,-1,55.305141,1
10,1,2008,2000,-8,0,55.626553,0
10,1,2008,2001,-7,0,56.164795,0
10,1,2008,2002,-6,0,57.363926,0
10,1,2008,2003,-5,0,58.234055,0
10,1,2008,2004,-4,0,58.609505,0
10,1,2008,2005,-3,0,57.935928,0
10,1,2008,2006,-2,0,58.031239,0
10,1,2008,2007,-1,0,57.730206,0
10,1,2008,2008,0,-.25,57.766243,1
10,1,2008,2009,1,-.5,58.180637,1
10,1,2008,2010,2,-.75,57.482922,1
10,1,2008,2011,3,-1,57.284943,1
10,1,2008,2012,4,-1,57.183777,1
10,1,2008,2013,5,-1,58.395107,1
10,1,2008,2014,6,-1,58.228939,1
10,1,2008,2015,7,-1,58.288364,1
10,1,2008,2016,8,-1,58.706306,1
10,1,2008,2017,9,-1,58.89922,1
10,1,2008,2018,10,-1,59.721607,1
10,1,2008,2019,11,-1,59.616478,1
11,1,2008,2000,-8,0,54.964527,0
11,1,2008,2001,-7,0,56.046677,0
11,1,2008,2002,-6,0,56.019077,0
11,1,2008,2003,-5,0,56.587502,0
11,1,2008,2004,-4,0,56.24369,0
11,1,2008,2005,-3,0,56.446522,0
11,1,2008,2006,-2,0,55.884876,0
11,1,2008,2007,-1,0,57.103931,0
11,1,2008,2008,0,-.25,56.636391,1
11,1,2008,2009,1,-.5,57.520607,1
11,1,2008,2010,2,-.75,57.042004,1
11,1,2008,2011,3,-1,58.16238,1
11,1,2008,2012,4,-1,57.506035,1
11,1,2008,2013,5,-1,56.862171,1
11,1,2008,2014,6,-1,57.031349,1
11,1,2008,2015,7,-1,58.519283,1
11,1,2008,2016,8,-1,58.088753,1
11,1,2008,2017,9,-1,58.339527,1
11,1,2008,2018,10,-1,59.301998,1
11,1,2008,2019,11,-1,58.379265,1
12,1,2008,2000,-8,0,55.547619,0
12,1,2008,2001,-7,0,55.777725,0
12,1,2008,2002,-6,0,55.967541,0
12,1,2008,2003,-5,0,56.501308,0
12,1,2008,2004,-4,0,56.88591,0
12,1,2008,2005,-3,0,55.819263,0
12,1,2008,2006,-2,0,57.322571,0
12,1,2008,2007,-1,0,57.003559,0
12,1,2008,2008,0,-.25,56.821064,1
12,1,2008,2009,1,-.5,56.080448,1
12,1,2008,2010,2,-.75,56.811699,1
12,1,2008,2011,3,-1,57.024807,1
12,1,2008,2012,4,-1,57.382553,1
12,1,2008,2013,5,-1,56.92775,1
12,1,2008,2014,6,-1,57.1362,1
12,1,2008,2015,7,-1,57.682945,1
12,1,2008,2016,8,-1,58.322517,1
12,1,2008,2017,9,-1,58.484417,1
12,1,2008,2018,10,-1,57.998646,1
12,1,2008,2019,11,-1,58.501976,1
13,1,2009,2000,-9,0,54.371178,0
13,1,2009,2001,-8,0,54.932369,0
13,1,2009,2002,-7,0,54.538261,0
13,1,2009,2003,-6,0,55.226154,0
13,1,2009,2004,-5,0,56.122242,0
13,1,2009,2005,-4,0,55.636585,0
13,1,2009,2006,-3,0,55.671448,0
13,1,2009,2007,-2,0,55.787853,0
13,1,2009,2008,-1,0,56.39135,0
13,1,2009,2009,0,-.25,55.997257,1
13,1,2009,2010,1,-.5,56.539093,1
13,1,2009,2011,2,-.75,56.388042,1
13,1,2009,2012,3,-1,56.615852,1
13,1,2009,2013,4,-1,56.682335,1
13,1,2009,2014,5,-1,57.252422,1
13,1,2009,2015,6,-1,57.282505,1
13,1,2009,2016,7,-1,56.938087,1
13,1,2009,2017,8,-1,57.339531,1
13,1,2009,2018,9,-1,56.989037,1
13,1,2009,2019,10,-1,58.125324,1
14,1,2009,2000,-9,0,56.304642,0
14,1,2009,2001,-8,0,56.049282,0
14,1,2009,2002,-7,0,56.319424,0
14,1,2009,2003,-6,0,56.433456,0
14,1,2009,2004,-5,0,56.67725,0
14,1,2009,2005,-4,0,55.973454,0
14,1,2009,2006,-3,0,56.7682,0
14,1,2009,2007,-2,0,57.170631,0
14,1,2009,2008,-1,0,58.612831,0
14,1,2009,2009,0,-.25,57.156204,1
14,1,2009,2010,1,-.5,56.622986,1
14,1,2009,2011,2,-.75,56.460144,1
14,1,2009,2012,3,-1,56.974312,1
14,1,2009,2013,4,-1,56.786224,1
14,1,2009,2014,5,-1,57.038483,1
14,1,2009,2015,6,-1,57.468613,1
14,1,2009,2016,7,-1,58.202991,1
14,1,2009,2017,8,-1,57.551762,1
14,1,2009,2018,9,-1,57.763008,1
14,1,2009,2019,10,-1,58.86689,1
15,1,2009,2000,-9,0,56.684429,0
15,1,2009,2001,-8,0,56.578987,0
15,1,2009,2002,-7,0,55.675098,0
15,1,2009,2003,-6,0,57.284286,0
15,1,2009,2004,-5,0,57.262806,0
15,1,2009,2005,-4,0,56.441063,0
15,1,2009,2006,-3,0,57.23288,0
15,1,2009,2007,-2,0,58.270317,0
15,1,2009,2008,-1,0,57.605717,0
15,1,2009,2009,0,-.25,56.165028,1
15,1,2009,2010,1,-.5,58.444656,1
15,1,2009,2011,2,-.75,58.346001,1
15,1,2009,2012,3,-1,56.627922,1
15,1,2009,2013,4,-1,57.533516,1
15,1,2009,2014,5,-1,57.60606,1
15,1,2009,2015,6,-1,58.566948,1
15,1,2009,2016,7,-1,58.667057,1
15,1,2009,2017,8,-1,57.8102,1
15,1,2009,2018,9,-1,57.897545,1
15,1,2009,2019,10,-1,57.315491,1
16,1,2009,2000,-9,0,55.590618,0
16,1,2009,2001,-8,0,55.349499,0
16,1,2009,2002,-7,0,55.920834,0
16,1,2009,2003,-6,0,56.131344,0
16,1,2009,2004,-5,0,55.505253,0
16,1,2009,2005,-4,0,56.416458,0
16,1,2009,2006,-3,0,56.82552,0
16,1,2009,2007,-2,0,56.577553,0
16,1,2009,2008,-1,0,56.853306,0
16,1,2009,2009,0,-.25,57.517529,1
16,1,2009,2010,1,-.5,57.515926,1
16,1,2009,2011,2,-.75,56.663094,1
16,1,2009,2012,3,-1,56.370461,1
16,1,2009,2013,4,-1,56.7066,1
16,1,2009,2014,5,-1,56.948647,1
16,1,2009,2015,6,-1,58.158272,1
16,1,2009,2016,7,-1,58.845158,1
16,1,2009,2017,8,-1,58.739483,1
16,1,2009,2018,9,-1,57.563919,1
16,1,2009,2019,10,-1,57.811069,1
17,1,2010,2000,-10,0,56.002441,0
17,1,2010,2001,-9,0,55.285297,0
17,1,2010,2002,-8,0,55.642242,0
17,1,2010,2003,-7,0,55.679447,0
17,1,2010,2004,-6,0,55.911934,0
17,1,2010,2005,-5,0,56.218975,0
17,1,2010,2006,-4,0,55.946911,0
17,1,2010,2007,-3,0,56.251205,0
17,1,2010,2008,-2,0,56.120823,0
17,1,2010,2009,-1,0,57.154839,0
17,1,2010,2010,0,-.25,56.867252,1
17,1,2010,2011,1,-.5,56.442719,1
17,1,2010,2012,2,-.75,57.580593,1
17,1,2010,2013,3,-1,56.163799,1
17,1,2010,2014,4,-1,56.194702,1
17,1,2010,2015,5,-1,56.893478,1
17,1,2010,2016,6,-1,57.333076,1
17,1,2010,2017,7,-1,57.595783,1
17,1,2010,2018,8,-1,57.308598,1
17,1,2010,2019,9,-1,58.393761,1
18,1,2010,2000,-10,0,55.87711,0
18,1,2010,2001,-9,0,55.479362,0
18,1,2010,2002,-8,0,55.510597,0
18,1,2010,2003,-7,0,55.955929,0
18,1,2010,2004,-6,0,55.297504,0
18,1,2010,2005,-5,0,55.876949,0
18,1,2010,2006,-4,0,56.442123,0
18,1,2010,2007,-3,0,56.106976,0
18,1,2010,2008,-2,0,56.981754,0
18,1,2010,2009,-1,0,56.303211,0
18,1,2010,2010,0,-.25,55.490551,1
18,1,2010,2011,1,-.5,57.220112,1
18,1,2010,2012,2,-.75,55.669094,1
18,1,2010,2013,3,-1,55.959885,1
18,1,2010,2014,4,-1,55.762226,1
18,1,2010,2015,5,-1,57.86245,1
18,1,2010,2016,6,-1,56.361721,1
18,1,2010,2017,7,-1,56.014866,1
18,1,2010,2018,8,-1,56.690346,1
18,1,2010,2019,9,-1,56.033329,1
19,1,2010,2000,-10,0,54.620296,0
19,1,2010,2001,-9,0,54.539284,0
19,1,2010,2002,-8,0,54.505848,0
19,1,2010,2003,-7,0,55.434196,0
19,1,2010,2004,-6,0,54.77129,0
19,1,2010,2005,-5,0,55.427937,0
19,1,2010,2006,-4,0,55.128597,0
19,1,2010,2007,-3,0,56.109177,0
19,1,2010,2008,-2,0,54.400795,0
19,1,2010,2009,-1,0,56.224506,0
19,1,2010,2010,0,-.25,55.94173,1
19,1,2010,2011,1,-.5,54.806396,1
19,1,2010,2012,2,-.75,55.877792,1
19,1,2010,2013,3,-1,55.22554,1
19,1,2010,2014,4,-1,56.377926,1
19,1,2010,2015,5,-1,56.440578,1
19,1,2010,2016,6,-1,57.439964,1
19,1,2010,2017,7,-1,56.765957,1
19,1,2010,2018,8,-1,56.329739,1
19,1,2010,2019,9,-1,57.663559,1
20,1,2010,2000,-10,0,55.261662,0
20,1,2010,2001,-9,0,56.112968,0
20,1,2010,2002,-8,0,55.729267,0
20,1,2010,2003,-7,0,55.674732,0
20,1,2010,2004,-6,0,55.441429,0
20,1,2010,2005,-5,0,55.910175,0
20,1,2010,2006,-4,0,56.170124,0
20,1,2010,2007,-3,0,56.659439,0
20,1,2010,2008,-2,0,56.990215,0
20,1,2010,2009,-1,0,57.103733,0
20,1,2010,2010,0,-.25,57.350204,1
20,1,2010,2011,1,-.5,56.580242,1
20,1,2010,2012,2,-.75,55.361309,1
20,1,2010,2013,3,-1,57.458378,1
20,1,2010,2014,4,-1,56.62027,1
20,1,2010,2015,5,-1,56.841572,1
20,1,2010,2016,6,-1,56.485668,1
20,1,2010,2017,7,-1,57.827789,1
20,1,2010,2018,8,-1,58.376717,1
20,1,2010,2019,9,-1,57.000782,1
21,1,2011,2000,-11,0,53.560993,0
21,1,2011,2001,-10,0,53.969723,0
21,1,2011,2002,-9,0,54.825825,0
21,1,2011,2003,-8,0,56.169846,0
21,1,2011,2004,-7,0,55.355854,0
21,1,2011,2005,-6,0,55.177975,0
21,1,2011,2006,-5,0,54.97921,0
21,1,2011,2007,-4,0,55.938339,0
21,1,2011,2008,-3,0,55.906368,0
21,1,2011,2009,-2,0,56.59948,0
21,1,2011,2010,-1,0,56.114922,0
21,1,2011,2011,0,-.25,56.045654,1
21,1,2011,2012,1,-.5,55.459076,1
21,1,2011,2013,2,-.75,57.030441,1
21,1,2011,2014,3,-1,56.471943,1
21,1,2011,2015,4,-1,56.285862,1
21,1,2011,2016,5,-1,56.144966,1
21,1,2011,2017,6,-1,56.584377,1
21,1,2011,2018,7,-1,57.105095,1
21,1,2011,2019,8,-1,56.475739,1
22,1,2011,2000,-11,0,56.625896,0
22,1,2011,2001,-10,0,56.443268,0
22,1,2011,2002,-9,0,56.321217,0
22,1,2011,2003,-8,0,56.982414,0
22,1,2011,2004,-7,0,56.088516,0
22,1,2011,2005,-6,0,56.727749,0
22,1,2011,2006,-5,0,58.20945,0
22,1,2011,2007,-4,0,58.306423,0
22,1,2011,2008,-3,0,57.310802,0
22,1,2011,2009,-2,0,59.036774,0
22,1,2011,2010,-1,0,58.886864,0
22,1,2011,2011,0,-.25,58.412685,1
22,1,2011,2012,1,-.5,58.098522,1
22,1,2011,2013,2,-.75,59.099178,1
22,1,2011,2014,3,-1,58.154007,1
22,1,2011,2015,4,-1,58.993382,1
22,1,2011,2016,5,-1,59.276638,1
22,1,2011,2017,6,-1,58.88958,1
22,1,2011,2018,7,-1,58.653854,1
22,1,2011,2019,8,-1,59.152393,1
23,1,2011,2000,-11,0,57.356762,0
23,1,2011,2001,-10,0,57.336239,0
23,1,2011,2002,-9,0,57.031136,0
23,1,2011,2003,-8,0,57.916809,0
23,1,2011,2004,-7,0,58.257751,0
23,1,2011,2005,-6,0,58.961521,0
23,1,2011,2006,-5,0,58.839012,0
23,1,2011,2007,-4,0,59.553055,0
23,1,2011,2008,-3,0,58.449047,0
23,1,2011,2009,-2,0,58.65765,0
23,1,2011,2010,-1,0,59.56599,0
23,1,2011,2011,0,-.25,59.584019,1
23,1,2011,2012,1,-.5,59.244766,1
23,1,2011,2013,2,-.75,60.107403,1
23,1,2011,2014,3,-1,58.608829,1
23,1,2011,2015,4,-1,58.680943,1
23,1,2011,2016,5,-1,58.739964,1
23,1,2011,2017,6,-1,58.578804,1
23,1,2011,2018,7,-1,60.257256,1
23,1,2011,2019,8,-1,60.901741,1
24,1,2011,2000,-11,0,56.502087,0
24,1,2011,2001,-10,0,56.224957,0
24,1,2011,2002,-9,0,57.104061,0
24,1,2011,2003,-8,0,56.388714,0
24,1,2011,2004,-7,0,56.458858,0
24,1,2011,2005,-6,0,56.040802,0
24,1,2011,2006,-5,0,57.623341,0
24,1,2011,2007,-4,0,56.241684,0
24,1,2011,2008,-3,0,58.064163,0
24,1,2011,2009,-2,0,57.136799,0
24,1,2011,2010,-1,0,56.769379,0
24,1,2011,2011,0,-.25,56.899303,1
24,1,2011,2012,1,-.5,57.892044,1
24,1,2011,2013,2,-.75,58.121738,1
24,1,2011,2014,3,-1,56.521702,1
24,1,2011,2015,4,-1,56.46328,1
24,1,2011,2016,5,-1,57.61861,1
24,1,2011,2017,6,-1,57.53072,1
24,1,2011,2018,7,-1,57.650368,1
24,1,2011,2019,8,-1,57.336754,1
25,1,2012,2000,-12,0,54.98629,0
25,1,2012,2001,-11,0,55.305359,0
25,1,2012,2002,-10,0,56.04546,0
25,1,2012,2003,-9,0,55.778347,0
25,1,2012,2004,-8,0,57.09166,0
25,1,2012,2005,-7,0,56.655056,0
25,1,2012,2006,-6,0,54.941589,0
25,1,2012,2007,-5,0,56.75853,0
25,1,2012,2008,-4,0,57.215046,0
25,1,2012,2009,-3,0,56.987934,0
25,1,2012,2010,-2,0,57.366421,0
25,1,2012,2011,-1,0,57.396397,0
25,1,2012,2012,0,-.25,57.343281,1
25,1,2012,2013,1,-.5,56.827957,1
25,1,2012,2014,2,-.75,57.772575,1
25,1,2012,2015,3,-1,56.857456,1
25,1,2012,2016,4,-1,56.66354,1
25,1,2012,2017,5,-1,57.553478,1
25,1,2012,2018,6,-1,57.018867,1
25,1,2012,2019,7,-1,57.440067,1
26,1,2012,2000,-12,0,57.563416,0
26,1,2012,2001,-11,0,59.292603,0
26,1,2012,2002,-10,0,57.566162,0
26,1,2012,2003,-9,0,56.884914,0
26,1,2012,2004,-8,0,58.639488,0
26,1,2012,2005,-7,0,57.284367,0
26,1,2012,2006,-6,0,59.197948,0
26,1,2012,2007,-5,0,57.8876,0
26,1,2012,2008,-4,0,58.027241,0
26,1,2012,2009,-3,0,58.958771,0
26,1,2012,2010,-2,0,58.158634,0
26,1,2012,2011,-1,0,59.246258,0
26,1,2012,2012,0,-.25,59.208885,1
26,1,2012,2013,1,-.5,58.674557,1
26,1,2012,2014,2,-.75,57.979988,1
26,1,2012,2015,3,-1,58.309177,1
26,1,2012,2016,4,-1,58.243813,1
26,1,2012,2017,5,-1,58.158142,1
26,1,2012,2018,6,-1,60.059006,1
26,1,2012,2019,7,-1,59.263168,1
27,1,2012,2000,-12,0,56.298439,0
27,1,2012,2001,-11,0,56.346478,0
27,1,2012,2002,-10,0,55.960426,0
27,1,2012,2003,-9,0,56.252113,0
27,1,2012,2004,-8,0,56.114109,0
27,1,2012,2005,-7,0,56.532249,0
27,1,2012,2006,-6,0,57.885048,0
27,1,2012,2007,-5,0,56.384441,0
27,1,2012,2008,-4,0,57.268517,0
27,1,2012,2009,-3,0,58.036705,0
27,1,2012,2010,-2,0,57.122887,0
27,1,2012,2011,-1,0,56.871342,0
27,1,2012,2012,0,-.25,57.753433,1
27,1,2012,2013,1,-.5,58.159546,1
27,1,2012,2014,2,-.75,57.472458,1
27,1,2012,2015,3,-1,57.712669,1
27,1,2012,2016,4,-1,57.092743,1
27,1,2012,2017,5,-1,57.159935,1
27,1,2012,2018,6,-1,57.924873,1
27,1,2012,2019,7,-1,58.325253,1
28,1,2012,2000,-12,0,53.693031,0
28,1,2012,2001,-11,0,54.003571,0
28,1,2012,2002,-10,0,55.020473,0
28,1,2012,2003,-9,0,55.088665,0
28,1,2012,2004,-8,0,55.198074,0
28,1,2012,2005,-7,0,55.037132,0
28,1,2012,2006,-6,0,55.598461,0
28,1,2012,2007,-5,0,54.304348,0
28,1,2012,2008,-4,0,55.317303,0
28,1,2012,2009,-3,0,56.114559,0
28,1,2012,2010,-2,0,55.687675,0
28,1,2012,2011,-1,0,55.126133,0
28,1,2012,2012,0,-.25,56.209782,1
28,1,2012,2013,1,-.5,55.990135,1
28,1,2012,2014,2,-.75,56.447117,1
28,1,2012,2015,3,-1,56.388195,1
28,1,2012,2016,4,-1,56.055111,1
28,1,2012,2017,5,-1,55.691772,1
28,1,2012,2018,6,-1,56.464397,1
28,1,2012,2019,7,-1,55.486893,1
29,1,2013,2000,-13,0,56.06179,0
29,1,2013,2001,-12,0,55.503414,0
29,1,2013,2002,-11,0,55.630032,0
29,1,2013,2003,-10,0,55.209126,0
29,1,2013,2004,-9,0,55.765564,0
29,1,2013,2005,-8,0,56.088196,0
29,1,2013,2006,-7,0,57.553719,0
29,1,2013,2007,-6,0,57.203865,0
29,1,2013,2008,-5,0,57.695564,0
29,1,2013,2009,-4,0,57.331966,0
29,1,2013,2010,-3,0,57.967697,0
29,1,2013,2011,-2,0,58.384411,0
29,1,2013,2012,-1,0,57.310898,0
29,1,2013,2013,0,-.25,57.928181,1
29,1,2013,2014,1,-.5,57.214909,1
29,1,2013,2015,2,-.75,57.975697,1
29,1,2013,2016,3,-1,57.627247,1
29,1,2013,2017,4,-1,57.774815,1
29,1,2013,2018,5,-1,59.217594,1
29,1,2013,2019,6,-1,58.716125,1
30,1,2013,2000,-13,0,55.926559,0
30,1,2013,2001,-12,0,55.743862,0
30,1,2013,2002,-11,0,55.962715,0
30,1,2013,2003,-10,0,56.15041,0
30,1,2013,2004,-9,0,55.873516,0
30,1,2013,2005,-8,0,56.22966,0
30,1,2013,2006,-7,0,56.120464,0
30,1,2013,2007,-6,0,56.366356,0
30,1,2013,2008,-5,0,57.603539,0
30,1,2013,2009,-4,0,56.553005,0
30,1,2013,2010,-3,0,57.883923,0
30,1,2013,2011,-2,0,57.492462,0
30,1,2013,2012,-1,0,57.778534,0
30,1,2013,2013,0,-.25,58.72049,1
30,1,2013,2014,1,-.5,57.288933,1
30,1,2013,2015,2,-.75,56.800488,1
30,1,2013,2016,3,-1,57.115513,1
30,1,2013,2017,4,-1,57.648808,1
30,1,2013,2018,5,-1,57.848145,1
30,1,2013,2019,6,-1,57.713249,1
31,1,2013,2000,-13,0,53.341972,0
31,1,2013,2001,-12,0,54.187565,0
31,1,2013,2002,-11,0,52.433117,0
31,1,2013,2003,-10,0,52.89389,0
31,1,2013,2004,-9,0,53.231155,0
31,1,2013,2005,-8,0,53.969749,0
31,1,2013,2006,-7,0,53.59724,0
31,1,2013,2007,-6,0,54.817528,0
31,1,2013,2008,-5,0,53.458378,0
31,1,2013,2009,-4,0,54.245094,0
31,1,2013,2010,-3,0,54.212914,0
31,1,2013,2011,-2,0,54.505157,0
31,1,2013,2012,-1,0,54.708511,0
31,1,2013,2013,0,-.25,54.391205,1
31,1,2013,2014,1,-.5,54.944935,1
31,1,2013,2015,2,-.75,53.871017,1
31,1,2013,2016,3,-1,54.632542,1
31,1,2013,2017,4,-1,55.241566,1
31,1,2013,2018,5,-1,54.871742,1
31,1,2013,2019,6,-1,55.607082,1
32,1,2013,2000,-13,0,55.358772,0
32,1,2013,2001,-12,0,57.081646,0
32,1,2013,2002,-11,0,56.199402,0
32,1,2013,2003,-10,0,56.636139,0
32,1,2013,2004,-9,0,56.268776,0
32,1,2013,2005,-8,0,57.077778,0
32,1,2013,2006,-7,0,57.333553,0
32,1,2013,2007,-6,0,57.491245,0
