state_id,year,teen_employment_count
ST12,2014,55596
ST12,2015,56033
ST12,2016,56563
ST12,2017,56614
ST12,2018,56019
ST12,2019,56412
ST13,2000,54371
ST13,2001,54822
ST13,2002,54318
ST13,2003,54896
ST13,2004,55682
ST13,2005,55087
ST13,2006,55011
ST13,2007,55018
ST13,2008,55511
ST13,2009,55007
ST13,2010,55439
ST13,2011,55178
ST13,2012,55296
ST13,2013,55252
ST13,2014,55712
ST13,2015,55633
ST13,2016,55178
ST13,2017,55470
ST13,2018,55009
ST13,2019,56035
ST14,2000,56305
ST14,2001,55939
ST14,2002,56099
ST14,2003,56103
ST14,2004,56237
ST14,2005,55423
ST14,2006,56108
ST14,2007,56401
ST14,2008,57733
ST14,2009,56166
ST14,2010,55523
ST14,2011,55250
ST14,2012,55654
ST14,2013,55356
ST14,2014,55498
ST14,2015,55819
ST14,2016,56443
ST14,2017,55682
ST14,2018,55783
ST14,2019,56777
ST15,2000,56684
ST15,2001,56469
ST15,2002,55455
ST15,2003,56954
ST15,2004,56823
ST15,2005,55891
ST15,2006,56573
ST15,2007,57500
ST15,2008,56726
ST15,2009,55175
ST15,2010,57345
ST15,2011,57136
ST15,2012,55308
ST15,2013,56104
ST15,2014,56066
ST15,2015,56917
ST15,2016,56907
ST15,2017,55940
ST15,2018,55918
ST15,2019,55225
ST16,2000,55591
ST16,2001,55239
ST16,2002,55701
ST16,2003,55801
ST16,2004,55065
ST16,2005,55866
ST16,2006,56166
ST16,2007,55808
ST16,2008,55973
ST16,2009,56528
ST16,2010,56416
ST16,2011,55453
ST16,2012,55050
ST16,2013,55277
ST16,2014,55409
ST16,2015,56508
ST16,2016,57085
ST16,2017,56869
ST16,2018,55584
ST16,2019,55721
ST17,2000,56002
ST17,2001,55175
ST17,2002,55422
ST17,2003,55349
ST17,2004,55472
ST17,2005,55669
ST17,2006,55287
ST17,2007,55481
ST17,2008,55241
ST17,2009,56165
ST17,2010,55767
ST17,2011,55233
ST17,2012,56261
ST17,2013,54734
ST17,2014,54655
ST17,2015,55243
ST17,2016,55573
ST17,2017,55726
ST17,2018,55329
ST17,2019,56304
ST18,2000,55877
ST18,2001,55369
ST18,2002,55291
ST18,2003,55626
ST18,2004,54858
ST18,2005,55327
ST18,2006,55782
ST18,2007,55337
ST18,2008,56102
ST18,2009,55313
ST18,2010,54391
ST18,2011,56010
ST18,2012,54349
ST18,2013,54530
ST18,2014,54222
ST18,2015,56212
ST18,2016,54602
ST18,2017,54145
ST18,2018,54710
ST18,2019,53943
ST19,2000,54620
ST19,2001,54429
ST19,2002,54286
ST19,2003,55104
ST19,2004,54331
ST19,2005,54878
ST19,2006,54469
ST19,2007,55339
ST19,2008,53521
ST19,2009,55235
ST19,2010,54842
ST19,2011,53596
ST19,2012,54558
ST19,2013,53796
ST19,2014,54838
ST19,2015,54791
ST19,2016,55680
ST19,2017,54896
ST19,2018,54350
ST19,2019,55574
ST20,2000,55262
ST20,2001,56003
ST20,2002,55509
ST20,2003,55345
ST20,2004,55001
ST20,2005,55360
ST20,2006,55510
ST20,2007,55889
ST20,2008,56110
ST20,2009,56114
ST20,2010,56250
ST20,2011,55370
ST20,2012,54041
ST20,2013,56028
ST20,2014,55080
ST20,2015,55192
ST20,2016,54726
ST20,2017,55958
ST20,2018,56397
ST20,2019,54911
ST21,2000,53561
ST21,2001,53860
ST21,2002,54606
ST21,2003,55840
ST21,2004,54916
ST21,2005,54628
ST21,2006,54319
ST21,2007,55168
ST21,2008,55026
ST21,2009,55609
ST21,2010,55015
ST21,2011,54836
ST21,2012,54139
ST21,2013,55600
ST21,2014,54932
ST21,2015,54636
ST21,2016,54385
ST21,2017,54714
ST21,2018,55125
ST21,2019,54386
ST22,2000,56626
ST22,2001,56333
ST22,2002,56101
ST22,2003,56652
ST22,2004,55649
ST22,2005,56178
ST22,2006,57549
ST22,2007,57536
ST22,2008,56431
ST22,2009,58047
ST22,2010,57787
ST22,2011,57203
ST22,2012,56779
ST22,2013,57669
ST22,2014,56614
ST22,2015,57343
ST22,2016,57517
ST22,2017,57020
ST22,2018,56674
ST22,2019,57062
ST23,2000,57357
ST23,2001,57226
ST23,2002,56811
ST23,2003,57587
ST23,2004,57818
ST23,2005,58412
ST23,2006,58179
ST23,2007,58783
ST23,2008,57569
ST23,2009,57668
ST23,2010,58466
ST23,2011,58374
ST23,2012,57925
ST23,2013,58677
ST23,2014,57069
ST23,2015,57031
ST23,2016,56980
ST23,2017,56709
ST23,2018,58277
ST23,2019,58812
ST24,2000,56502
ST24,2001,56115
ST24,2002,56884
ST24,2003,56059
ST24,2004,56019
ST24,2005,55491
ST24,2006,56963
ST24,2007,55472
ST24,2008,57184
ST24,2009,56147
ST24,2010,55669
ST24,2011,55689
ST24,2012,56572
ST24,2013,56692
ST24,2014,54982
ST24,2015,54813
ST24,2016,55859
ST24,2017,55661
ST24,2018,55670
ST24,2019,55247
ST25,2000,54986
ST25,2001,55195
ST25,2002,55825
ST25,2003,55448
ST25,2004,56652
ST25,2005,56105
ST25,2006,54282
ST25,2007,55989
ST25,2008,56335
ST25,2009,55998
ST25,2010,56266
ST25,2011,56186
ST25,2012,56023
ST25,2013,55398
ST25,2014,56233
ST25,2015,55207
ST25,2016,54904
ST25,2017,55683
ST25,2018,55039
ST25,2019,55350
ST26,2000,57563
ST26,2001,59183
ST26,2002,57346
ST26,2003,56555
ST26,2004,58199
ST26,2005,56734
ST26,2006,58538
ST26,2007,57118
ST26,2008,57147
ST26,2009,57969
ST26,2010,57059
ST26,2011,58036
ST26,2012,57889
ST26,2013,57245
ST26,2014,56440
ST26,2015,56659
ST26,2016,56484
ST26,2017,56288
ST26,2018,58079
ST26,2019,57173
ST27,2000,56298
ST27,2001,56236
ST27,2002,55740
ST27,2003,55922
ST27,2004,55674
ST27,2005,55982
ST27,2006,57225
ST27,2007,55614
ST27,2008,56389
ST27,2009,57047
ST27,2010,56023
ST27,2011,55661
ST27,2012,56433
ST27,2013,56730
ST27,2014,55932
ST27,2015,56063
ST27,2016,55333
ST27,2017,55290
ST27,2018,55945
ST27,2019,56235
ST28,2000,53693
ST28,2001,53894
ST28,2002,54800
ST28,2003,54759
ST28,2004,54758
ST28,2005,54487
ST28,2006,54938
ST28,2007,53534
ST28,2008,54437
ST28,2009,55125
ST28,2010,54588
ST28,2011,53916
ST28,2012,54890
ST28,2013,54560
ST28,2014,54907
ST28,2015,54738
ST28,2016,54295
ST28,2017,53822
ST28,2018,54484
ST28,2019,53397
ST29,2000,56062
ST29,2001,55393
ST29,2002,55410
ST29,2003,54879
ST29,2004,55326
ST29,2005,55538
ST29,2006,56894
ST29,2007,56434
ST29,2008,56816
ST29,2009,56342
ST29,2010,56868
ST29,2011,57174
ST29,2012,55991
ST29,2013,56498
ST29,2014,55675
ST29,2015,56326
ST29,2016,55867
ST29,2017,55905
ST29,2018,57238
ST29,2019,56626
ST30,2000,55927
ST30,2001,55634
ST30,2002,55743
ST30,2003,55820
ST30,2004,55434
ST30,2005,55680
ST30,2006,55460
ST30,2007,55596
ST30,2008,56724
ST30,2009,55563
ST30,2010,56784
ST30,2011,56282
ST30,2012,56459
ST30,2013,57290
ST30,2014,55749
ST30,2015,55150
ST30,2016,55356
ST30,2017,55779
ST30,2018,55868
ST30,2019,55623
ST31,2000,53342
ST31,2001,54078
ST31,2002,52213
ST31,2003,52564
ST31,2004,52791
ST31,2005,53420
ST31,2006,52937
ST31,2007,54048
ST31,2008,52578
ST31,2009,53255
ST31,2010,53113
ST31,2011,53295
ST31,2012,53389
ST31,2013,52961
ST31,2014,53405
ST31,2015,52221
ST31,2016,52873
ST31,2017,53372
ST31,2018,52892
ST31,2019,53517
ST32,2000,55359
ST32,2001,56972
ST32,2002,55979
ST32,2003,56306
ST32,2004,55829
ST32,2005,56528
ST32,2006,56674
ST32,2007,56721
ST32,2008,55517
ST32,2009,56732
ST32,2010,56666
ST32,2011,55913
ST32,2012,56636
ST32,2013,56859
ST32,2014,56723
ST32,2015,55722
ST32,2016,54451
ST32,2017,55427
ST32,2018,56081
ST32,2019,55328
ST33,2000,55749
ST33,2001,56551
ST33,2002,55902
ST33,2003,55786
ST33,2004,55799
ST33,2005,57115
ST33,2006,56714
ST33,2007,56293
ST33,2008,56221
ST33,2009,57255
ST33,2010,56840
ST33,2011,56269
ST33,2012,57018
ST33,2013,56164
ST33,2014,56285
ST33,2015,57302
ST33,2016,56997
ST33,2017,56608
ST33,2018,57191
ST33,2019,55992
ST34,2000,56124
ST34,2001,56001
ST34,2002,55238
ST34,2003,56312
ST34,2004,55680
ST34,2005,55536
ST34,2006,56127
ST34,2007,56193
ST34,2008,55367
ST34,2009,56469
ST34,2010,55671
ST34,2011,55716
ST34,2012,55809
ST34,2013,56385
ST34,2014,56345
ST34,2015,55763
ST34,2016,55372
ST34,2017,56031
ST34,2018,56627
ST34,2019,55476
ST35,2000,54221
ST35,2001,54436
ST35,2002,54421
ST35,2003,54122
ST35,2004,55067
ST35,2005,54591
ST35,2006,54776
ST35,2007,54845
ST35,2008,54626
ST35,2009,54879
ST35,2010,55918
ST35,2011,56128
ST35,2012,54527
ST35,2013,55555
ST35,2014,55479
ST35,2015,55588
ST35,2016,54821
ST35,2017,54466
ST35,2018,54603
ST35,2019,55189
ST36,2000,55947
ST36,2001,55768
ST36,2002,55909
ST36,2003,55944
ST36,2004,56546
ST36,2005,57212
ST36,2006,57434
ST36,2007,55873
ST36,2008,57013
ST36,2009,57356
ST36,2010,56837
ST36,2011,57053
ST36,2012,56733
ST36,2013,57605
ST36,2014,56977
ST36,2015,57644
ST36,2016,58370
ST36,2017,57925
ST36,2018,57065
ST36,2019,58042
ST37,2000,55298
ST37,2001,55322
ST37,2002,56001
ST37,2003,55828
ST37,2004,55221
ST37,2005,56318
ST37,2006,56274
ST37,2007,55527
ST37,2008,55687
ST37,2009,56169
ST37,2010,56067
ST37,2011,56314
ST37,2012,55276
ST37,2013,56211
ST37,2014,55941
ST37,2015,55770
ST37,2016,56403
ST37,2017,56761
ST37,2018,56526
ST37,2019,57360
ST38,2000,54608
ST38,2001,55683
ST38,2002,55018
ST38,2003,54759
ST38,2004,56043
ST38,2005,55370
ST38,2006,55268
ST38,2007,55797
ST38,2008,54393
ST38,2009,56071
ST38,2010,55426
ST38,2011,54862
ST38,2012,55898
ST38,2013,55656
ST38,2014,56046
ST38,2015,55240
ST38,2016,55983
ST38,2017,55733
ST38,2018,56572
ST38,2019,57528
ST39,2000,54507
ST39,2001,55358
ST39,2002,54646
ST39,2003,55077
ST39,2004,54766
ST39,2005,54563
ST39,2006,53359
ST39,2007,54690
ST39,2008,54453
ST39,2009,54557
ST39,2010,54831
ST39,2011,54674
ST39,2012,55263
ST39,2013,55308
ST39,2014,54762
ST39,2015,55290
ST39,2016,54712
ST39,2017,54867
ST39,2018,55138
ST39,2019,54627
ST40,2000,52778
ST40,2001,53529
ST40,2002,52773
ST40,2003,53242
ST40,2004,52809
ST40,2005,54213
ST40,2006,54055
ST40,2007,53292
ST40,2008,54475
ST40,2009,54391
ST40,2010,52564
ST40,2011,55614
ST40,2012,54120
ST40,2013,54082
ST40,2014,54527
ST40,2015,54403
ST40,2016,54380
ST40,2017,54625
ST40,2018,54884
ST40,2019,54974
ST41,2000,56940
ST41,2001,55886
ST41,2002,56776
ST41,2003,56747
ST41,2004,57750
ST41,2005,57307
ST41,2006,57498
ST41,2007,57311
ST41,2008,57201
ST41,2009,57672
ST41,2010,56029
ST41,2011,57124
ST41,2012,57841
ST41,2013,57236
ST41,2014,58397
ST41,2015,58623
ST41,2016,58741
ST41,2017,57452
ST41,2018,58015
ST41,2019,58275
ST42,2000,50462
ST42,2001,52101
ST42,2002,52181
ST42,2003,52117
ST42,2004,51172
ST42,2005,51994
ST42,2006,50987
ST42,2007,51842
ST42,2008,51362
ST42,2009,51997
ST42,2010,51564
ST42,2011,52511
ST42,2012,51379
ST42,2013,52852
ST42,2014,52840
ST42,2015,52315
ST42,2016,53320
ST42,2017,52142
ST42,2018,52755
ST42,2019,52707
ST43,2000,54686
ST43,2001,54550
ST43,2002,54880
ST43,2003,55790
ST43,2004,55658
ST43,2005,54738
ST43,2006,53902
ST43,2007,55391
ST43,2008,55890
ST43,2009,55431
ST43,2010,55503
ST43,2011,54894
ST43,2012,55564
ST43,2013,56107
ST43,2014,55369
ST43,2015,55490
ST43,2016,55921
ST43,2017,55742
ST43,2018,57141
ST43,2019,54829
ST44,2000,52666
ST44,2001,52871
ST44,2002,51995
ST44,2003,52911
ST44,2004,54088
ST44,2005,53078
ST44,2006,52301
ST44,2007,52569
ST44,2008,51886
ST44,2009,54228
ST44,2010,52560
ST44,2011,54101
ST44,2012,53668
ST44,2013,53904
ST44,2014,54560
ST44,2015,53666
ST44,2016,53057
ST44,2017,53283
ST44,2018,53990
ST44,2019,54871
ST45,2000,54087
ST45,2001,53145
ST45,2002,53847
ST45,2003,53695
ST45,2004,53058
ST45,2005,54348
ST45,2006,53777
ST45,2007,54223
ST45,2008,54624
ST45,2009,54473
ST45,2010,53914
ST45,2011,55470
ST45,2012,54274
ST45,2013,54445
ST45,2014,53985
ST45,2015,55535
ST45,2016,55561
ST45,2017,54928
ST45,2018,55404
ST45,2019,55371
ST46,2000,53722
ST46,2001,53698
ST46,2002,53167
ST46,2003,53710
ST46,2004,54011
ST46,2005,53727
ST46,2006,53380
ST46,2007,54172
ST46,2008,54578
ST46,2009,53744
ST46,2010,55396
ST46,2011,53208
ST46,2012,54993
ST46,2013,54037
ST46,2014,52647
ST46,2015,55083
ST46,2016,54373
ST46,2017,53749
ST46,2018,54908
ST46,2019,55102
ST47,2000,55603
ST47,2001,54613
ST47,2002,56835
ST47,2003,56338
ST47,2004,55785
ST47,2005,55802
ST47,2006,56124
ST47,2007,55606
ST47,2008,55793
ST47,2009,55537
ST47,2010,56525
ST47,2011,56441
ST47,2012,56300
ST47,2013,57174
ST47,2014,56467
ST47,2015,57964
ST47,2016,56873
ST47,2017,55477
ST47,2018,57209
ST47,2019,56945
ST48,2000,52576
ST48,2001,53007
ST48,2002,52985
ST48,2003,53803
ST48,2004,53419
ST48,2005,53708
ST48,2006,54340
ST48,2007,54575
ST48,2008,54362
ST48,2009,54766
ST48,2010,55579
ST48,2011,54842
ST48,2012,55289
ST48,2013,56007
ST48,2014,55713
ST48,2015,54787
ST48,2016,55312
ST48,2017,55201
ST48,2018,56427
ST48,2019,55411
ST49,2000,53825
ST49,2001,54111
ST49,2002,54519
ST49,2003,54785
ST49,2004,54651
ST49,2005,55894
ST49,2006,54978
ST49,2007,54596
ST49,2008,54943
ST49,2009,54891
ST49,2010,55971
ST49,2011,54606
ST49,2012,54389
ST49,2013,55543
ST49,2014,54886
ST49,2015,55591
ST49,2016,55404
ST49,2017,55342
ST49,2018,56713
ST49,2019,55802
ST50,2000,55486
ST50,2001,56211
ST50,2002,55861
ST50,2003,55529
ST50,2004,56561
ST50,2005,55276
ST50,2006,56602
ST50,2007,56819
ST50,2008,55933
ST50,2009,56642
ST50,2010,56824
ST50,2011,57022
ST50,2012,57468
ST50,2013,56531
ST50,2014,56989
ST50,2015,56960
ST50,2016,57109
ST50,2017,55788
ST50,2018,57437
ST50,2019,57098
