state_code,year,population_weight
ST07X,2011,.85000002
ST07X,2012,.85000002
ST07X,2013,.85000002
ST07X,2014,.85000002
ST07X,2015,.85000002
ST07X,2016,.85000002
ST07X,2017,.85000002
ST07X,2018,.85000002
ST07X,2019,.85000002
ST08,2000,.87
ST08,2001,.87
ST08,2002,.87
ST08,2003,.87
ST08,2004,.87
ST08,2005,.87
ST08,2006,.87
ST08,2007,.87
ST08,2008,.87
ST08,2009,.87
ST08X,2010,.87
ST08X,2011,.87
ST08X,2012,.87
ST08X,2013,.87
ST08X,2014,.87
ST08X,2015,.87
ST08X,2016,.87
ST08X,2017,.87
ST08X,2018,.87
ST08X,2019,.87
ST09,2000,.88999999
ST09,2001,.88999999
ST09,2002,.88999999
ST09,2003,.88999999
ST09,2004,.88999999
ST09,2005,.88999999
ST09,2006,.88999999
ST09,2007,.88999999
ST09,2008,.88999999
ST09,2009,.88999999
ST09X,2010,.88999999
ST09X,2011,.88999999
ST09X,2012,.88999999
ST09X,2013,.88999999
ST09X,2014,.88999999
ST09X,2015,.88999999
ST09X,2016,.88999999
ST09X,2017,.88999999
ST09X,2018,.88999999
ST09X,2019,.88999999
ST10,2000,.91000003
ST10,2001,.91000003
ST10,2002,.91000003
ST10,2003,.91000003
ST10,2004,.91000003
ST10,2005,.91000003
ST10,2006,.91000003
ST10,2007,.91000003
ST10,2008,.91000003
ST10,2009,.91000003
ST10X,2010,.91000003
ST10X,2011,.91000003
ST10X,2012,.91000003
ST10X,2013,.91000003
ST10X,2014,.91000003
ST10X,2015,.91000003
ST10X,2016,.91000003
ST10X,2017,.91000003
ST10X,2018,.91000003
ST10X,2019,.91000003
ST11,2000,.93000001
ST11,2001,.93000001
ST11,2002,.93000001
ST11,2003,.93000001
ST11,2004,.93000001
ST11,2005,.93000001
ST11,2006,.93000001
ST11,2007,.93000001
ST11,2008,.93000001
ST11,2009,.93000001
ST11X,2010,.93000001
ST11X,2011,.93000001
ST11X,2012,.93000001
ST11X,2013,.93000001
ST11X,2014,.93000001
ST11X,2015,.93000001
ST11X,2016,.93000001
ST11X,2017,.93000001
ST11X,2018,.93000001
ST11X,2019,.93000001
ST12,2000,.94999999
ST12,2001,.94999999
ST12,2002,.94999999
ST12,2003,.94999999
ST12,2004,.94999999
ST12,2005,.94999999
ST12,2006,.94999999
ST12,2007,.94999999
ST12,2008,.94999999
ST12,2009,.94999999
ST12X,2010,.94999999
ST12X,2011,.94999999
ST12X,2012,.94999999
ST12X,2013,.94999999
ST12X,2014,.94999999
ST12X,2015,.94999999
ST12X,2016,.94999999
ST12X,2017,.94999999
ST12X,2018,.94999999
ST12X,2019,.94999999
ST13,2000,.97000003
ST13,2001,.97000003
ST13,2002,.97000003
ST13,2003,.97000003
ST13,2004,.97000003
ST13,2005,.97000003
ST13,2006,.97000003
ST13,2007,.97000003
ST13,2008,.97000003
ST13,2009,.97000003
ST13X,2010,.97000003
ST13X,2011,.97000003
ST13X,2012,.97000003
ST13X,2013,.97000003
ST13X,2014,.97000003
ST13X,2015,.97000003
ST13X,2016,.97000003
ST13X,2017,.97000003
ST13X,2018,.97000003
ST13X,2019,.97000003
ST14,2000,.85000002
ST14,2001,.85000002
ST14,2002,.85000002
ST14,2003,.85000002
ST14,2004,.85000002
ST14,2005,.85000002
ST14,2006,.85000002
ST14,2007,.85000002
ST14,2008,.85000002
ST14,2009,.85000002
ST14X,2010,.85000002
ST14X,2011,.85000002
ST14X,2012,.85000002
ST14X,2013,.85000002
ST14X,2014,.85000002
ST14X,2015,.85000002
ST14X,2016,.85000002
ST14X,2017,.85000002
ST14X,2018,.85000002
ST14X,2019,.85000002
ST15,2000,.87
ST15,2001,.87
ST15,2002,.87
ST15,2003,.87
ST15,2004,.87
ST15,2005,.87
ST15,2006,.87
ST15,2007,.87
ST15,2008,.87
ST15,2009,.87
ST15X,2010,.87
ST15X,2011,.87
ST15X,2012,.87
ST15X,2013,.87
ST15X,2014,.87
ST15X,2015,.87
ST15X,2016,.87
ST15X,2017,.87
ST15X,2018,.87
ST15X,2019,.87
ST16,2000,.88999999
ST16,2001,.88999999
ST16,2002,.88999999
ST16,2003,.88999999
ST16,2004,.88999999
ST16,2005,.88999999
ST16,2006,.88999999
ST16,2007,.88999999
ST16,2008,.88999999
ST16,2009,.88999999
ST16X,2010,.88999999
ST16X,2011,.88999999
ST16X,2012,.88999999
ST16X,2013,.88999999
ST16X,2014,.88999999
ST16X,2015,.88999999
ST16X,2016,.88999999
ST16X,2017,.88999999
ST16X,2018,.88999999
ST16X,2019,.88999999
ST17,2000,.91000003
ST17,2001,.91000003
ST17,2002,.91000003
ST17,2003,.91000003
ST17,2004,.91000003
ST17,2005,.91000003
ST17,2006,.91000003
ST17,2007,.91000003
ST17,2008,.91000003
ST17,2009,.91000003
ST17X,2010,.91000003
ST17X,2011,.91000003
ST17X,2012,.91000003
ST17X,2013,.91000003
ST17X,2014,.91000003
ST17X,2015,.91000003
ST17X,2016,.91000003
ST17X,2017,.91000003
ST17X,2018,.91000003
ST17X,2019,.91000003
ST18,2000,.93000001
ST18,2001,.93000001
ST18,2002,.93000001
ST18,2003,.93000001
ST18,2004,.93000001
ST18,2005,.93000001
ST18,2006,.93000001
ST18,2007,.93000001
ST18,2008,.93000001
ST18,2009,.93000001
ST18X,2010,.93000001
ST18X,2011,.93000001
ST18X,2012,.93000001
ST18X,2013,.93000001
ST18X,2014,.93000001
ST18X,2015,.93000001
ST18X,2016,.93000001
ST18X,2017,.93000001
ST18X,2018,.93000001
ST18X,2019,.93000001
ST19,2000,.94999999
ST19,2001,.94999999
ST19,2002,.94999999
ST19,2003,.94999999
ST19,2004,.94999999
ST19,2005,.94999999
ST19,2006,.94999999
ST19,2007,.94999999
ST19,2008,.94999999
ST19,2009,.94999999
ST19X,2010,.94999999
ST19X,2011,.94999999
ST19X,2012,.94999999
ST19X,2013,.94999999
ST19X,2014,.94999999
ST19X,2015,.94999999
ST19X,2016,.94999999
ST19X,2017,.94999999
ST19X,2018,.94999999
ST19X,2019,.94999999
ST20,2000,.97000003
ST20,2001,.97000003
ST20,2002,.97000003
ST20,2003,.97000003
ST20,2004,.97000003
ST20,2005,.97000003
ST20,2006,.97000003
ST20,2007,.97000003
ST20,2008,.97000003
ST20,2009,.97000003
ST20X,2010,.97000003
ST20X,2011,.97000003
ST20X,2012,.97000003
ST20X,2013,.97000003
ST20X,2014,.97000003
ST20X,2015,.97000003
ST20X,2016,.97000003
ST20X,2017,.97000003
ST20X,2018,.97000003
ST20X,2019,.97000003
ST21,2000,.85000002
ST21,2001,.85000002
ST21,2002,.85000002
ST21,2003,.85000002
ST21,2004,.85000002
ST21,2005,.85000002
ST21,2006,.85000002
ST21,2007,.85000002
ST21,2008,.85000002
ST21,2009,.85000002
ST21X,2010,.85000002
ST21X,2011,.85000002
ST21X,2012,.85000002
ST21X,2013,.85000002
ST21X,2014,.85000002
ST21X,2015,.85000002
ST21X,2016,.85000002
ST21X,2017,.85000002
ST21X,2018,.85000002
ST21X,2019,.85000002
ST22,2000,.87
ST22,2001,.87
ST22,2002,.87
ST22,2003,.87
ST22,2004,.87
ST22,2005,.87
ST22,2006,.87
ST22,2007,.87
ST22,2008,.87
ST22,2009,.87
ST22X,2010,.87
ST22X,2011,.87
ST22X,2012,.87
ST22X,2013,.87
ST22X,2014,.87
ST22X,2015,.87
ST22X,2016,.87
ST22X,2017,.87
ST22X,2018,.87
ST22X,2019,.87
ST23,2000,.88999999
ST23,2001,.88999999
ST23,2002,.88999999
ST23,2003,.88999999
ST23,2004,.88999999
ST23,2005,.88999999
ST23,2006,.88999999
ST23,2007,.88999999
ST23,2008,.88999999
ST23,2009,.88999999
ST23X,2010,.88999999
ST23X,2011,.88999999
ST23X,2012,.88999999
ST23X,2013,.88999999
ST23X,2014,.88999999
ST23X,2015,.88999999
ST23X,2016,.88999999
ST23X,2017,.88999999
ST23X,2018,.88999999
ST23X,2019,.88999999
ST24,2000,.91000003
ST24,2001,.91000003
ST24,2002,.91000003
ST24,2003,.91000003
ST24,2004,.91000003
ST24,2005,.91000003
ST24,2006,.91000003
ST24,2007,.91000003
ST24,2008,.91000003
ST24,2009,.91000003
ST24X,2010,.91000003
ST24X,2011,.91000003
ST24X,2012,.91000003
ST24X,2013,.91000003
ST24X,2014,.91000003
ST24X,2015,.91000003
ST24X,2016,.91000003
ST24X,2017,.91000003
ST24X,2018,.91000003
ST24X,2019,.91000003
ST25,2000,.93000001
ST25,2001,.93000001
ST25,2002,.93000001
ST25,2003,.93000001
ST25,2004,.93000001
ST25,2005,.93000001
ST25,2006,.93000001
ST25,2007,.93000001
ST25,2008,.93000001
ST25,2009,.93000001
ST25X,2010,.93000001
ST25X,2011,.93000001
ST25X,2012,.93000001
ST25X,2013,.93000001
ST25X,2014,.93000001
ST25X,2015,.93000001
ST25X,2016,.93000001
ST25X,2017,.93000001
ST25X,2018,.93000001
ST25X,2019,.93000001
ST26,2000,.94999999
ST26,2001,.94999999
ST26,2002,.94999999
ST26,2003,.94999999
ST26,2004,.94999999
ST26,2005,.94999999
ST26,2006,.94999999
ST26,2007,.94999999
ST26,2008,.94999999
ST26,2009,.94999999
ST26X,2010,.94999999
ST26X,2011,.94999999
ST26X,2012,.94999999
ST26X,2013,.94999999
ST26X,2014,.94999999
ST26X,2015,.94999999
ST26X,2016,.94999999
ST26X,2017,.94999999
ST26X,2018,.94999999
ST26X,2019,.94999999
ST27,2000,.97000003
ST27,2001,.97000003
ST27,2002,.97000003
ST27,2003,.97000003
ST27,2004,.97000003
ST27,2005,.97000003
ST27,2006,.97000003
ST27,2007,.97000003
ST27,2008,.97000003
ST27,2009,.97000003
ST27X,2010,.97000003
ST27X,2011,.97000003
ST27X,2012,.97000003
ST27X,2013,.97000003
ST27X,2014,.97000003
ST27X,2015,.97000003
ST27X,2016,.97000003
ST27X,2017,.97000003
ST27X,2018,.97000003
ST27X,2019,.97000003
ST28,2000,.85000002
ST28,2001,.85000002
ST28,2002,.85000002
ST28,2003,.85000002
ST28,2004,.85000002
ST28,2005,.85000002
ST28,2006,.85000002
ST28,2007,.85000002
ST28,2008,.85000002
ST28,2009,.85000002
ST28X,2010,.85000002
ST28X,2011,.85000002
ST28X,2012,.85000002
ST28X,2013,.85000002
ST28X,2014,.85000002
ST28X,2015,.85000002
ST28X,2016,.85000002
ST28X,2017,.85000002
ST28X,2018,.85000002
ST28X,2019,.85000002
ST29,2000,.87
ST29,2001,.87
ST29,2002,.87
ST29,2003,.87
ST29,2004,.87
ST29,2005,.87
ST29,2006,.87
ST29,2007,.87
ST29,2008,.87
ST29,2009,.87
ST29X,2010,.87
ST29X,2011,.87
ST29X,2012,.87
ST29X,2013,.87
ST29X,2014,.87
ST29X,2015,.87
ST29X,2016,.87
ST29X,2017,.87
ST29X,2018,.87
ST29X,2019,.87
ST30,2000,.88999999
ST30,2001,.88999999
ST30,2002,.88999999
ST30,2003,.88999999
ST30,2004,.88999999
ST30,2005,.88999999
ST30,2006,.88999999
ST30,2007,.88999999
ST30,2008,.88999999
ST30,2009,.88999999
ST30X,2010,.88999999
ST30X,2011,.88999999
ST30X,2012,.88999999
ST30X,2013,.88999999
ST30X,2014,.88999999
ST30X,2015,.88999999
ST30X,2016,.88999999
ST30X,2017,.88999999
ST30X,2018,.88999999
ST30X,2019,.88999999
ST31,2000,.91000003
ST31,2001,.91000003
ST31,2002,.91000003
ST31,2003,.91000003
ST31,2004,.91000003
ST31,2005,.91000003
ST31,2006,.91000003
ST31,2007,.91000003
ST31,2008,.91000003
ST31,2009,.91000003
ST31X,2010,.91000003
ST31X,2011,.91000003
ST31X,2012,.91000003
ST31X,2013,.91000003
ST31X,2014,.91000003
ST31X,2015,.91000003
ST31X,2016,.91000003
ST31X,2017,.91000003
ST31X,2018,.91000003
ST31X,2019,.91000003
ST32,2000,.93000001
ST32,2001,.93000001
ST32,2002,.93000001
ST32,2003,.93000001
ST32,2004,.93000001
ST32,2005,.93000001
ST32,2006,.93000001
ST32,2007,.93000001
ST32,2008,.93000001
ST32,2009,.93000001
ST32X,2010,.93000001
ST32X,2011,.93000001
ST32X,2012,.93000001
ST32X,2013,.93000001
ST32X,2014,.93000001
ST32X,2015,.93000001
ST32X,2016,.93000001
ST32X,2017,.93000001
ST32X,2018,.93000001
ST32X,2019,.93000001
ST33,2000,.94999999
ST33,2001,.94999999
ST33,2002,.94999999
ST33,2003,.94999999
ST33,2004,.94999999
ST33,2005,.94999999
ST33,2006,.94999999
ST33,2007,.94999999
ST33,2008,.94999999
ST33,2009,.94999999
ST33X,2010,.94999999
ST33X,2011,.94999999
ST33X,2012,.94999999
ST33X,2013,.94999999
ST33X,2014,.94999999
ST33X,2015,.94999999
ST33X,2016,.94999999
ST33X,2017,.94999999
ST33X,2018,.94999999
ST33X,2019,.94999999
ST34,2000,.97000003
ST34,2001,.97000003
ST34,2002,.97000003
ST34,2003,.97000003
ST34,2004,.97000003
ST34,2005,.97000003
ST34,2006,.97000003
ST34,2007,.97000003
ST34,2008,.97000003
ST34,2009,.97000003
ST34X,2010,.97000003
ST34X,2011,.97000003
ST34X,2012,.97000003
ST34X,2013,.97000003
ST34X,2014,.97000003
ST34X,2015,.97000003
ST34X,2016,.97000003
ST34X,2017,.97000003
ST34X,2018,.97000003
ST34X,2019,.97000003
ST35,2000,.85000002
ST35,2001,.85000002
ST35,2002,.85000002
ST35,2003,.85000002
ST35,2004,.85000002
ST35,2005,.85000002
ST35,2006,.85000002
ST35,2007,.85000002
ST35,2008,.85000002
ST35,2009,.85000002
ST35X,2010,.85000002
ST35X,2011,.85000002
ST35X,2012,.85000002
ST35X,2013,.85000002
ST35X,2014,.85000002
ST35X,2015,.85000002
ST35X,2016,.85000002
ST35X,2017,.85000002
ST35X,2018,.85000002
ST35X,2019,.85000002
ST36,2000,.87
ST36,2001,.87
ST36,2002,.87
ST36,2003,.87
ST36,2004,.87
ST36,2005,.87
ST36,2006,.87
ST36,2007,.87
ST36,2008,.87
ST36,2009,.87
ST36,2010,.87
ST36,2011,.87
ST36,2012,.87
ST36,2013,.87
ST36,2014,.87
ST36,2015,.87
ST36,2016,.87
ST36,2017,.87
ST36,2018,.87
ST36,2019,.87
ST37,2000,.88999999
ST37,2001,.88999999
ST37,2002,.88999999
ST37,2003,.88999999
ST37,2004,.88999999
ST37,2005,.88999999
ST37,2006,.88999999
ST37,2007,.88999999
ST37,2008,.88999999
ST37,2009,.88999999
ST37,2010,.88999999
ST37,2011,.88999999
ST37,2012,.88999999
ST37,2013,.88999999
ST37,2014,.88999999
ST37,2015,.88999999
ST37,2016,.88999999
ST37,2017,.88999999
ST37,2018,.88999999
ST37,2019,.88999999
ST38,2000,.91000003
ST38,2001,.91000003
ST38,2002,.91000003
ST38,2003,.91000003
ST38,2004,.91000003
ST38,2005,.91000003
ST38,2006,.91000003
ST38,2007,.91000003
ST38,2008,.91000003
ST38,2009,.91000003
ST38,2010,.91000003
ST38,2011,.91000003
ST38,2012,.91000003
ST38,2013,.91000003
ST38,2014,.91000003
ST38,2015,.91000003
ST38,2016,.91000003
ST38,2017,.91000003
ST38,2018,.91000003
ST38,2019,.91000003
ST39,2000,.93000001
ST39,2001,.93000001
ST39,2002,.93000001
ST39,2003,.93000001
ST39,2004,.93000001
ST39,2005,.93000001
ST39,2006,.93000001
ST39,2007,.93000001
ST39,2008,.93000001
ST39,2009,.93000001
ST39,2010,.93000001
ST39,2011,.93000001
ST39,2012,.93000001
ST39,2013,.93000001
ST39,2014,.93000001
ST39,2015,.93000001
ST39,2016,.93000001
ST39,2017,.93000001
ST39,2018,.93000001
ST39,2019,.93000001
ST40,2000,.94999999
ST40,2001,.94999999
ST40,2002,.94999999
ST40,2003,.94999999
ST40,2004,.94999999
ST40,2005,.94999999
ST40,2006,.94999999
ST40,2007,.94999999
ST40,2008,.94999999
ST40,2009,.94999999
ST40,2010,.94999999
ST40,2011,.94999999
ST40,2012,.94999999
ST40,2013,.94999999
ST40,2014,.94999999
ST40,2015,.94999999
ST40,2016,.94999999
ST40,2017,.94999999
ST40,2018,.94999999
ST40,2019,.94999999
ST41,2000,.97000003
ST41,2001,.97000003
ST41,2002,.97000003
ST41,2003,.97000003
ST41,2004,.97000003
ST41,2005,.97000003
ST41,2006,.97000003
ST41,2007,.97000003
ST41,2008,.97000003
ST41,2009,.97000003
ST41,2010,.97000003
ST41,2011,.97000003
ST41,2012,.97000003
ST41,2013,.97000003
ST41,2014,.97000003
ST41,2015,.97000003
ST41,2016,.97000003
ST41,2017,.97000003
ST41,2018,.97000003
ST41,2019,.97000003
ST42,2000,.85000002
ST42,2001,.85000002
ST42,2002,.85000002
ST42,2003,.85000002
ST42,2004,.85000002
ST42,2005,.85000002
ST42,2006,.85000002
ST42,2007,.85000002
ST42,2008,.85000002
ST42,2009,.85000002
ST42,2010,.85000002
ST42,2011,.85000002
ST42,2012,.85000002
ST42,2013,.85000002
ST42,2014,.85000002
ST42,2015,.85000002
ST42,2016,.85000002
ST42,2017,.85000002
ST42,2018,.85000002
ST42,2019,.85000002
ST43,2000,.87
ST43,2001,.87
ST43,2002,.87
ST43,2003,.87
ST43,2004,.87
ST43,2005,.87
ST43,2006,.87
ST43,2007,.87
ST43,2008,.87
ST43,2009,.87
ST43,2010,.87
ST43,2011,.87
ST43,2012,.87
ST43,2013,.87
ST43,2014,.87
ST43,2015,.87
ST43,2016,.87
ST43,2017,.87
ST43,2018,.87
ST43,2019,.87
ST44,2000,.88999999
ST44,2001,.88999999
ST44,2002,.88999999
ST44,2003,.88999999
ST44,2004,.88999999
ST44,2005,.88999999
ST44,2006,.88999999
ST44,2007,.88999999
ST44,2008,.88999999
ST44,2009,.88999999
ST44,2010,.88999999
ST44,2011,.88999999
ST44,2012,.88999999
ST44,2013,.88999999
ST44,2014,.88999999
ST44,2015,.88999999
ST44,2016,.88999999
ST44,2017,.88999999
ST44,2018,.88999999
ST44,2019,.88999999
ST45,2000,.91000003
ST45,2001,.91000003
ST45,2002,.91000003
ST45,2003,.91000003
ST45,2004,.91000003
ST45,2005,.91000003
ST45,2006,.91000003
ST45,2007,.91000003
ST45,2008,.91000003
ST45,2009,.91000003
ST45,2010,.91000003
ST45,2011,.91000003
ST45,2012,.91000003
ST45,2013,.91000003
ST45,2014,.91000003
ST45,2015,.91000003
ST45,2016,.91000003
ST45,2017,.91000003
ST45,2018,.91000003
ST45,2019,.91000003
ST46,2000,.93000001
ST46,2001,.93000001
ST46,2002,.93000001
ST46,2003,.93000001
ST46,2004,.93000001
ST46,2005,.93000001
ST46,2006,.93000001
ST46,2007,.93000001
ST46,2008,.93000001
ST46,2009,.93000001
ST46,2010,.93000001
ST46,2011,.93000001
ST46,2012,.93000001
ST46,2013,.93000001
ST46,2014,.93000001
ST46,2015,.93000001
ST46,2016,.93000001
ST46,2017,.93000001
ST46,2018,.93000001
ST46,2019,.93000001
ST47,2000,.94999999
ST47,2001,.94999999
ST47,2002,.94999999
ST47,2003,.94999999
ST47,2004,.94999999
ST47,2005,.94999999
ST47,2006,.94999999
ST47,2007,.94999999
ST47,2008,.94999999
ST47,2009,.94999999
ST47,2010,.94999999
ST47,2011,.94999999
ST47,2012,.94999999
ST47,2013,.94999999
ST47,2014,.94999999
ST47,2015,.94999999
ST47,2016,.94999999
ST47,2017,.94999999
ST47,2018,.94999999
ST47,2019,.94999999
ST48,2000,.97000003
ST48,2001,.97000003
ST48,2002,.97000003
ST48,2003,.97000003
ST48,2004,.97000003
ST48,2005,.97000003
ST48,2006,.97000003
ST48,2007,.97000003
ST48,2008,.97000003
ST48,2009,.97000003
ST48,2010,.97000003
ST48,2011,.97000003
ST48,2012,.97000003
ST48,2013,.97000003
ST48,2014,.97000003
ST48,2015,.97000003
ST48,2016,.97000003
ST48,2017,.97000003
ST48,2018,.97000003
ST48,2019,.97000003
ST49,2000,.85000002
ST49,2001,.85000002
ST49,2002,.85000002
ST49,2003,.85000002
ST49,2004,.85000002
ST49,2005,.85000002
ST49,2006,.85000002
ST49,2007,.85000002
ST49,2008,.85000002
ST49,2009,.85000002
ST49,2010,.85000002
ST49,2011,.85000002
ST49,2012,.85000002
ST49,2013,.85000002
ST49,2014,.85000002
ST49,2015,.85000002
ST49,2016,.85000002
ST49,2017,.85000002
ST49,2018,.85000002
ST49,2019,.85000002
ST50,2000,.87
ST50,2001,.87
ST50,2002,.87
ST50,2003,.87
ST50,2004,.87
ST50,2005,.87
ST50,2006,.87
ST50,2007,.87
ST50,2008,.87
ST50,2009,.87
ST50,2010,.87
ST50,2011,.87
ST50,2012,.87
ST50,2013,.87
ST50,2014,.87
ST50,2015,.87
ST50,2016,.87
ST50,2017,.87
ST50,2018,.87
ST50,2019,.87
